Week Ending,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Submitted Data,Passed Quality Assurance Check,Residents Weekly Admissions COVID-19,Residents Total Admissions COVID-19,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly Suspected COVID-19,Residents Total Suspected COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Resident Access to Testing in Facility,Laboratory Type Is State Health Dept,Laboratory Type Is Private Lab,Laboratory Type Is Other,Able to Test or Obtain Resources to Test All Current Residents Within Next 7 Days,Reason for Not Testing Residents - Lack of PPE for Personnel ,Reason for Not Testing Residents - Lack of Supplies,Reason for Not Testing Residents  - Lack of Access to Laboratory,Reason for Not Testing Residents - Lack of Access to Trained Personnel ,Reason for Not Testing Residents  - Uncertainty About Reimbursement,Reason for Not Testing Residents  - Other,During Past Two Weeks Average Time to Receive Resident Test Results,Has Facility Performed Resident Tests Since Last Report,Tested Residents with New Signs or Symptoms,Tested Asymptomatic Residents in a Unit or Section After a New Case,Tested Asymptomatic Residents Facility-Wide After a New Case,Tested Asymptomatic Residents Without Known Exposure as Surveillance,Tested Another Subgroup of Residents,Able to Test or Obtain Resources to Test All Staff and/or Personnel Within Next 7 Days,Reason for Not Testing Staff and/or Personnel - Lack of PPE for Personnel ,Reason for Not Testing Staff and/or Personnel - Lack of Supplies,Reason for Not Testing Staff and/or Personnel - Lack of Access to Laboratory,Reason for Not Testing Staff and/or Personnel  - Lack of Access to Trained Personnel ,Reason for Not Testing Staff and/or Personnel - Uncertainty About Reimbursement,Reason for Not Testing Staff and/or Personnel - Other,During Past Two Weeks Average Time to Receive Staff and/or Personnel Test Results,Has Facility Performed Staff and/or Personnel Tests Since Last Report,Tested Staff and/or Personnel with New Signs or Symptoms,Tested Asymptomatic Staff and/or Personnel in a Unit or Section After a New Case,Tested Asymptomatic Staff and/or Personnel Facility-Wide After a New Case,Tested Asymptomatic Staff and/or Personnel Without Known Exposure as Surveillance,Tested Another Subgroup of Staff and/or Personnel,In-House Point-of-Care Test Machine,COVID-19 Point-of-Care Tests Performed on Residents Since Last Report,COVID-19 Point-of-Care Tests Performed on Staff and/or Personnel Since Last Report,Enough Supplies to Test All Staff and/or Personnel Using Point-of-Care Test Machine,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,Staff Weekly Suspected COVID-19,Staff Total Suspected COVID-19,Staff Weekly COVID-19 Deaths,Staff Total COVID-19 Deaths,Shortage of Nursing Staff,Shortage of Clinical Staff,Shortage of Aides,Shortage of Other Staff,Any Current Supply of N95 Masks,One-Week Supply of N95 Masks,Any Current Supply of Surgical Masks,One-Week Supply of Surgical Masks,Any Current Supply of Eye Protection,One-Week Supply of Eye Protection,Any Current Supply of Gowns,One-Week Supply of Gowns,Any Current Supply of Gloves,One-Week Supply of Gloves,Any Current Supply of Hand Sanitizer,One-Week Supply of Hand Sanitizer,Ventilator Dependent Unit,Number of Ventilators in Facility,Number of Ventilators in Use for COVID-19,Any Current Supply of Ventilator Supplies,One-Week Supply of Ventilator Supplies,"Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents",Total Residents COVID-19 Deaths as a Percentage of Confirmed COVID-19 Cases,County,Three or More Confirmed COVID-19 Cases This Week,Initial Confirmed COVID-19 Case This Week,Geolocation
11/08/2020,465057,FOUR CORNERS REGIONAL CARE CENTER,818 NORTH 400 WEST,BLANDING,UT,84511,Y,Y,0,1,0,35,0,0,0,17,0,8,104,35,,,,,Y,N,N,N,N,N,N,<1 DAY,N,N,N,N,N,N,Y,N,N,N,N,N,N,<1 DAY,Y,N,N,N,Y,N,Y,0,35,Y,0,29,0,1,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,1000.0,228.6,22.9,San Juan,N,N,POINT (-109.484984 37.637292)
11/08/2020,465168,ROCKY MOUNTAIN CARE - RIVERTON,3419 WEST 12600 SOUTH,RIVERTON,UT,84065,Y,Y,0,1,0,0,0,1,0,0,0,0,40,39,,,,,Y,N,N,N,N,N,N,<1 DAY,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,<1 DAY,Y,N,N,N,Y,N,Y,0,104,Y,1,6,0,0,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,Salt Lake,N,N,POINT (-111.972362 40.522216)
11/08/2020,465179,NEURORESTORATIVE,13747 SOUTH REDWOOD ROAD,RIVERTON,UT,84065,Y,Y,2,3,0,0,0,27,0,0,0,0,64,39,,,,,Y,N,N,N,N,N,N,1-2 DAYS,N,N,N,N,N,N,Y,N,N,N,N,N,N,<1 DAY,Y,N,N,N,Y,N,Y,0,122,Y,1,7,2,35,0,0,Y,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,Y,30,0,Y,N,0.0,0.0,,Salt Lake,N,N,POINT (-111.938641 40.501469)
11/08/2020,465160,CORAL DESERT REHABILITATION AND CARE,"1490 EAST FOREMASTER DRIVE, BUILDING B",ST GEORGE,UT,84790,Y,Y,4,59,4,4,0,2,2,15,1,5,58,35,,,,,Y,N,N,N,N,N,N,<1 DAY,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,<1 DAY,Y,N,Y,N,N,N,Y,26,58,Y,3,8,0,19,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,114.3,142.9,125.0,Washington,Y,Y,POINT (-113.551904 37.096215)
11/08/2020,465174,FAIRFIELD VILLAGE REHABILITATION,1203 NORTH FAIRFIELD ROAD,LAYTON,UT,84041,Y,Y,0,0,0,0,0,8,0,2,0,0,40,10,,,,,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,N,Y,N,Y,N,N,N,N,N,N,<1 DAY,Y,N,N,N,Y,N,Y,39,161,Y,0,13,3,24,0,0,N,N,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,Davis,N,N,POINT (-111.950182 41.077246)
11/08/2020,465095,ST JOSEPH VILLA,451 EAST BISHOP FEDERAL LANE,SALT LAKE CITY,UT,84115,Y,Y,0,11,1,14,0,0,3,22,1,1,221,154,,,,,Y,N,N,N,N,N,N,1-2 DAYS,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,Y,Y,Y,Y,N,Y,178,353,Y,4,22,0,3,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,15,0,Y,Y,90.9,6.5,7.1,Salt Lake,N,N,POINT (-111.877569 40.728009)
11/08/2020,465180,SOUTHERN UTAH VETERANS HOME - IVINS,160 NORTH 200 EAST,IVINS,UT,84738,Y,Y,0,0,0,0,0,0,3,22,0,0,108,102,,,,,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,Y,N,Y,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,Y,N,N,Y,14,303,Y,1,12,2,18,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,0.0,0.0,,Washington,N,N,POINT (-113.675054 37.171082)
11/08/2020,465184,CASCADES AT RIVERWALK,1012 WEST JORDAN RIVER BOULEVARD,MIDVALE,UT,84047,Y,Y,0,1,1,1,0,1,0,5,0,0,120,93,,,,,Y,N,N,N,N,N,N,<1 DAY,Y,N,N,Y,N,N,Y,N,N,N,N,N,N,<1 DAY,Y,N,N,Y,Y,N,Y,90,162,Y,2,8,0,1,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,10.8,0.0,0.0,Salt Lake,N,Y,POINT (-111.920813 40.623815)
11/08/2020,465172,GEORGE E WAHLEN OGDEN VETERANS HOME,1102 NORTH 1200 WEST,OGDEN,UT,84404,Y,Y,0,0,1,1,0,1,0,1,0,0,120,107,,,,,Y,N,N,N,N,N,N,1-2 DAYS,Y,Y,N,Y,N,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,Y,N,Y,Y,N,Y,3,10,Y,3,10,0,13,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,,,,,9.3,0.0,0.0,Weber,N,Y,POINT (-112.00854 41.276707)
11/08/2020,465094,WOODLAND PARK REHABILITATION AND CARE CENTER,3855 SOUTH 700 EAST,SALT LAKE CITY,UT,84106,Y,N,14,59,0,8,0,6,2,15,2,7,178,96,,,,,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,Y,N,N,N,Y,N,N,N,N,N,N,1-2 DAYS,Y,N,N,Y,N,N,Y,0,0,Y,1,19,1,6,0,0,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,12,0,Y,Y,83.3,72.9,87.5,Salt Lake,N,N,POINT (-111.871385 40.688771)
