Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths,Latitude,Longitude
PROVIDENCE KODIAK ISLAND MED LTC,025030,1915 E REZANOF DRIVE,KODIAK,Kodiak Island Borough,0,4,2,0,22,0,8,0,57.800835,-152.373943
PETERSBURG MEDICAL CENTER LTC,025019,P.O. BOX 589,PETERSBURG,Wrangell-Petersburg,0,0,4,0,7,0,4,0,0,0
PROVIDENCE VALDEZ MEDICAL CENTER,025034,911 MEALS AVENUE,VALDEZ,Valdez-Chitina-Whittier,0,4,0,0,8,0,0,0,61.133261,-146.349974
SOUTH PENINSULA HOSPITAL LTC,025031,4300 BARTLETT STREET,HOMER,Kenai-Cook Inlet,0,0,3,0,18,6,47,0,59.652133000000006,-151.550296
CORDOVA COMMUNITY MED LTC,025028,P.O. BOX 160,CORDOVA,Cordova-Mccarthy,0,5,1,0,9,0,2,0,0,0
MAPLE SPRINGS OF WASILLA,025038,3265 E MERIDIAN LOOP,WASILLA,Matanuska-Susitna,0,1,1,0,58,3,37,0,0,0
PRESTIGE CARE & REHAB CENTER OF ANCHORAGE,025025,9100 CENTENNIAL DRIVE,ANCHORAGE,Anchorage,4,0,3,1,93,23,9,0,61.225333,-149.7151
DENALI CENTER,025020,1510 19TH AVENUE,FAIRBANKS,Fairbanks,0,14,5,0,68,14,28,0,64.830445,-147.742115
PROVIDENCE EXTENDED CARE,025036,920 COMPASSION CIRCLE,ANCHORAGE,Anchorage,8,1,9,0,88,19,34,0,61.213044,-149.774066
SEARHC SITKA LONG TERM CARE,025032,209 MOLLER AVENUE,SITKA,Sitka,1,0,4,0,14,1,0,0,57.058992,-135.345929
PROVIDENCE SEWARD MED & CARE CENTER LTC,025024,2203 OAK STREET (P.O. BOX 430),SEWARD,Seward,0,8,6,0,30,2,33,0,60.13240199999999,-149.443395
YUKON KUSKOKWIM ELDER'S HOME,025037,"1100 CHIEF EDDIE HOFFMAN HWY, PO BOX 528",BETHEL,Bethel,0,2,2,0,15,1,0,0,0,0
WILDFLOWER COURT,025027,2000 SALMON CREEK LANE,JUNEAU,Juneau,0,12,10,0,53,6,12,0,58.32931000000001,-134.464075
MAPLE SPRINGS OF PALMER,025039,12130 EAST MAPLE SPRINGS WAY,PALMER,Matanuska-Susitna,0,0,2,0,21,7,2,0,0,0
QUYANNA CARE CENTER,025026,1100 GREG KRUSCHEK AVENUE (P.O. BOX 966),NOME,Nome,0,0,3,0,16,1,0,0,0,0
KETCHIKAN MED CTR NEW HORIZONS TRANSITIONAL CARE,025010,3100 TONGASS AVENUE,KETCHIKAN,Ketchikan,0,9,3,0,18,0,0,0,55.352717,-131.686049
HERITAGE PLACE,025021,232 ROCKWELL AVENUE,SOLDOTNA,Kenai-Cook Inlet,0,0,0,0,52,6,8,0,60.493166,-151.082422
WRANGELL MEDICAL CENTER LTC,025015,P.O. BOX 1081,WRANGELL,Wrangell-Petersburg,2,0,3,0,13,2,0,0,0,0
UTUQQANAAT INAAT,025035,436 MISSION STREET,KOTZEBUE,Not Available,0,0,2,0,17,1,0,0,66.895635,-162.589499
PROVIDENCE TRANSITIONAL CARE CENTER,025018,910 COMPASSION CIRCLE,ANCHORAGE,Anchorage,19,0,6,2,30,25,20,0,61.212083,-149.773719
SYLACAUGA HEALTH AND REHAB SERVICES,015160,1007 W FORT WILLIAMS ST,SYLACAUGA,Talladega,49,60,50,11,119,49,17,0,33.16723,-86.267588
CROWNE HEALTH CARE OF MOBILE,015100,954 NAVCO ROAD,MOBILE,Mobile,8,1,12,5,112,15,2,1,30.652376999999998,-88.101369
WESTSIDE TERRACE HEALTH & REHABILITATION CENTER,015425,501 NORTH WOODBURN DRIVE,DOTHAN,Houston,6,13,14,0,147,16,25,0,31.242318,-85.45514
CROWNE HEALTH CARE OF THOMASVILLE,015220,1425 MOSLEY DRIVE,THOMASVILLE,Clarke,4,1,13,0,68,16,0,0,31.931292,-87.736349
"VALLEY VIEW HEALTH AND REHABILITATION, LLC",015431,5968 WALL TRIANA HIGHWAY,MADISON,Madison,13,3,20,1,140,22,20,0,34.755024,-86.749704
"WETUMPKA HEALTH AND REHABILITATION, LLC",015027,1825 HOLTVILLE ROAD,WETUMPKA,Elmore,60,3,39,5,100,38,6,0,32.558544,-86.221265
DIVERSICARE OF ARAB,015148,235 THIRD STREET SE,ARAB,Marshall,16,6,8,0,77,14,10,0,34.312876,-86.492998
WOODHAVEN MANOR NURSING HOME,015177,105 WEST WINDSOR ST,DEMOPOLIS,Marengo,10,17,7,1,66,12,22,0,32.500826,-87.835559
