Facility Name,Facility Name Normalized,Date Collected,State,County,City,State Facility Type,CTP Facility Categorization,State/Fed Regulated,State Facility ID,CMS Facility ID,Date outbreak opened,Date outreak closed,Outbreak Status,Resident Census,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Residents Tested,Staff Tested,Personal Protective Equipment
Burton's Ridge Assisted Living,BURTON'S RIDGE ASSISTED LIVING,20201104,OH,ALLEN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmcroft of Lima,ELMCROFT OF LIMA,20201104,OH,ALLEN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lochhaven Apartments,LOCHHAVEN APARTMENTS,20201104,OH,ALLEN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maple Crest,MAPLE CREST,20201104,OH,ALLEN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyngate Senior Living Community,WYNGATE SENIOR LIVING COMMUNITY,20201104,OH,ALLEN,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brethren Care Village,BRETHREN CARE VILLAGE,20201104,OH,ASHLAND,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McMullen Assisted Care,MCMULLEN ASSISTED CARE,20201104,OH,ASHLAND,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Martin Assisted Living Martin House Apartments,ST MARTIN ASSISTED LIVING MARTIN HOUSE APARTMENTS,20201104,OH,ASHLAND,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Villa at the Lake,THE VILLA AT THE LAKE,20201104,OH,ASHTABULA,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otterbein Cridersville,OTTERBEIN CRIDERSVILLE,20201104,OH,AUGLAIZE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otterbein St Mary's,OTTERBEIN ST MARY'S,20201104,OH,AUGLAIZE,,Assisted Living,Assisted Living,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
