Date Collected,State,County,City,Facility Name,State Facility Type,CTP Facility Categorization,State/Fed Regulated,State Facility ID,CMS Facility ID,Date outbreak opened,Date outreak closed,Outbreak Status,Resident Census,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Resident Positives,Resident Probable Positives,Resident Deaths,Resident Probable Deaths,Staff Positive,Staff Probable Positives,Staff Deaths,Staff Probable Deaths,Resident/Staff Positives,Resident/Staff Probable Positives,Resident/Staff Deaths,Resident/Staff Probable Deaths,Residents Tested,Staff Tested,Personal Protective Equipment
20201104,OH,Allen,,Burton's Ridge Assisted Living,Assisted Living,Assisted Living,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Allen,,Elmcroft of Lima,Assisted Living,Assisted Living,,,,,,,,23,,,,13,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Allen,,Lochhaven Apartments,Assisted Living,Assisted Living,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Allen,,Maple Crest,Assisted Living,Assisted Living,,,,,,,,5,,,,2,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Allen,,Wyngate Senior Living Community,Assisted Living,Assisted Living,,,,,,,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Ashland,,Brethren Care Village,Assisted Living,Assisted Living,,,,,,,,0,,,,5,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Ashland,,McMullen Assisted Care,Assisted Living,Assisted Living,,,,,,,,15,,,,5,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Ashland,,St Martin Assisted Living Martin House Apartments,Assisted Living,Assisted Living,,,,,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Ashtabula,,The Villa at the Lake,Assisted Living,Assisted Living,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Auglaize,,Otterbein Cridersville,Assisted Living,Assisted Living,,,,,,,,4,,,,9,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Auglaize,,Otterbein St Mary's,Assisted Living,Assisted Living,,,,,,,,12,,,,15,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Butler,,Barrington,Assisted Living,Assisted Living,,,,,,,,3,,,,3,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Butler,,Bickford Senior Living Middletown,Assisted Living,Assisted Living,,,,,,,,8,,,,2,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Butler,,Chesterwood-Ashley Place,Assisted Living,Assisted Living,,,,,,,,2,,,,3,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Butler,,Doverwood-Ashley Place,Assisted Living,Assisted Living,,,,,,,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Butler,,Fairfield Pavilion aka Majestic Care of Fairfield,Assisted Living,Assisted Living,,,,,,,,24,,,,7,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Butler,,Fairfield Place,Assisted Living,Assisted Living,,,,,,,,7,,,,8,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Butler,,MAJESTIC CARE FKA Garden Manor,Assisted Living,Assisted Living,,,,,,,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Butler,,Otterbein Middletown,Assisted Living,Assisted Living,,,,,,,,6,,,,3,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Butler,,Story Point,Assisted Living,Assisted Living,,,,,,,,6,,,,1,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Butler,,TriCounty Extended Care aka Majestic Care,Assisted Living,Assisted Living,,,,,,,,53,,,,21,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Butler,,WOODLANDS,Assisted Living,Assisted Living,,,,,,,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Butler,,Woodridge,Assisted Living,Assisted Living,,,,,,,,15,,,,6,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Carroll,,Centreville Village Assisted Living,Assisted Living,Assisted Living,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Champaign,,Urbana Place,Assisted Living,Assisted Living,,,,,,,,0,,,,4,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Clark,,Brookdale Buck Creek,Assisted Living,Assisted Living,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Clark,,Forest Glen Health Campus,Assisted Living,Assisted Living,,,,,,,,8,,,,1,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Clark,,Hearth and Home At Harding,Assisted Living,Assisted Living,,,,,,,,6,,,,3,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Clark,,Northwood,Assisted Living,Assisted Living,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Clark,,Oakwood Village,Assisted Living,Assisted Living,,,,,,,,2,,,,0,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Clark,,Ohio Masonic Home,Assisted Living,Assisted Living,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Clermont,,Pinebrook Retirement Living - Assisted Living,Assisted Living,Assisted Living,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Columbiana,,Brookdale Salem,Assisted Living,Assisted Living,,,,,,,,12,,,,3,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Columbiana,,Courtyard of Lexington,Assisted Living,Assisted Living,,,,,,,,8,,,,3,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Crawford,,Carlisle Place,Assisted Living,Assisted Living,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Crawford,,Orchard Park,Assisted Living,Assisted Living,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Cuyahoga,,Aberdeen Crossings,Assisted Living,Assisted Living,,,,,,,,0,,,,3,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Cuyahoga,,ANCORA MEMORY SUPPORT AT MT ALVERNA,Assisted Living,Assisted Living,,,,,,,,0,,,,2,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Cuyahoga,,Arden Courts of Parma,Assisted Living,Assisted Living,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Cuyahoga,,Beachwood Commons,Assisted Living,Assisted Living,,,,,,,,4,,,,11,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Cuyahoga,,BRIGHTON GARDENS,Assisted Living,Assisted Living,,,,,,,,0,,,,1,,,,,,,,,,,,,,,,,,,,,,
20201104,OH,Cuyahoga,,Brookdale Westlake Village IL,Assisted Living,Assisted Living,,,,,,,,3,,,,5,,,,,,,,,,,,,,,,,,,,,,
