Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
MAPLEWOOD CENTER,525069,8615 W BELOIT RD,WEST ALLIS,Milwaukee,1,4,19,1,99,6,11,0
LINDENGROVE NEW BERLIN,525064,13755 W FIELDPOINTE DR,NEW BERLIN,Waukesha,0,2,0,0,94,0,16,0
EASTCASTLE PL BRADFORD TER CONV CTR,525085,2505 E BRADFORD AVE,MILWAUKEE,Milwaukee,0,8,0,0,28,3,50,0
"DEERFIELD CARE CENTER, LLC",525019,575 HOSPITAL RD,NEW RICHMOND,St. Croix,0,0,9,0,46,0,2,0
WAUNAKEE MANOR HEALTH CARE CENTER,525098,801 KLEIN DR,WAUNAKEE,Dane,2,14,4,0,5,5,11,0
EDGEWATER HAVEN NURSING HOME,525088,1351 WISCONSIN RIVER DR,PORT EDWARDS,Wood,0,7,27,0,47,3,29,0
VILLA AT LINCOLN PARK (THE),525061,1700 C A BECKER DR,RACINE,Racine,0,0,0,0,83,1,0,0
ALLIS CARE CENTER,525108,9047 W GREENFIELD AVE,WEST ALLIS,Milwaukee,5,1,6,0,99,13,15,0
BELMONT NURSING AND REHAB CTR,525074,110 BELMONT RD,MADISON,Dane,25,12,5,0,71,24,40,0
FOND DU LAC LUTHERAN HOME,525655,244 N MACY ST,FOND DU LAC,Fond du Lac,0,2,12,0,57,0,9,0
STEVENS POINT HEALTH SERVICES,525353,1800 SHERMAN AVE,STEVENS POINT,Portage,0,2,1,0,33,1,3,0
MAPLE RIDGE CARE CENTER,525673,510 FIRST ST,SPOONER,Washburn,0,1,3,0,56,1,13,0
ODD FELLOW HOME,525559,1229 S JACKSON ST,GREEN BAY,Brown,0,1,10,0,71,4,6,0
ASHLAND HEALTH SERVICES,525386,1319 BEASER AVE,ASHLAND,Ashland,0,1,5,0,48,0,11,0
SPRING VALLEY HEALTH AND REHAB CENTER,525466,S830 - WESTLAND DR,SPRING VALLEY,Pierce,0,0,10,0,22,1,5,0
FREDERIC NURSING AND REHAB COMMUNITY,525665,205 UNITED WAY,FREDERIC,Polk,0,0,6,0,39,0,5,0
CROSSROADS CARE CENTER OF WEYAUWEGA,525315,717 E ALFRED ST,WEYAUWEGA,Waupaca,0,4,0,0,69,0,5,0
EDENBROOK OF PLATTEVILLE,525219,1300 N WATER ST,PLATTEVILLE,Grant,1,6,7,0,47,0,2,0
SHELL LAKE HEALTH CARE CENTER,525553,802 E CTY HWY B,SHELL LAKE,Washburn,0,2,9,0,31,1,12,0
RENNES HEALTH AND REHAB CENTER-WEST,525451,501 N LAKE ST,PESHTIGO,Marinette,15,7,16,2,75,16,25,0
CROSSROADS CARE CENTER OF MAYVILLE,525616,305 S CLARK ST,MAYVILLE,Dodge,0,0,0,0,59,0,19,0
MARSHFIELD CLINIC COMFORT AND RECOVERY-EAU CLAIRE,525721,2116 CRAIG RD,EAU CLAIRE,Eau Claire,0,0,0,0,9,1,0,0
HOMESTEAD HEALTH SERVICES,525546,1712 MONROE ST,NEW HOLSTEIN,Calumet,0,2,1,0,26,0,2,0
ST CAMILLUS HEALTH CENTER,525382,10101 W WISCONSIN AVE,WAUWATOSA,Milwaukee,4,24,14,3,39,11,39,0
MASONIC CENTER FOR HEALTH & REHAB INC,525572,400 N MAIN ST,DOUSMAN,Waukesha,0,4,1,0,59,4,24,0
GOOD SHEPHERD SERVICES LTD,525509,607 BRONSON RD,SEYMOUR,Outagamie,0,7,11,0,33,1,13,0
VILLA AT BRADLEY ESTATES (THE),525325,6735 W BRADLEY RD,MILWAUKEE,Milwaukee,27,1,97,6,175,28,7,0
GREEN BAY HEALTH SERVICES,525342,1640 SHAWANO AVE,GREEN BAY,Brown,0,5,10,0,72,0,17,0
PARK VIEW HOME,525458,220 LOCKWOOD ST,WOODVILLE,St. Croix,0,2,5,0,43,2,15,0
NEIGHBORS - CENTRAL NEIGHBORHOOD (THE),525433,2901 FORBES AVE,MENOMONIE,Dunn,0,1,6,0,30,0,0,0
CREST VIEW NURSING HOME,525581,612 VIEW ST,NEW LISBON,Juneau,0,1,10,0,49,3,1,0
GRANDE PRAIRIE HLTH  AND REHAB CTR,525659,10330 PRAIRIE RIDGE BLVD,PLEASANT PRAIRIE,Kenosha,0,0,21,0,85,1,0,0
EDENBROOK OF GREEN BAY,525307,2961 ST ANTHONY DR,GREEN BAY,Brown,0,0,7,0,51,4,2,0
SAUK CO HEALTH CARE CENTER,525114,1051 CLARK ST,REEDSBURG,Sauk,0,2,3,0,57,1,5,0
GUNDERSEN TRI-COUNTY CARE CENTER,525679,18601 LINCOLN ST,WHITEHALL,Trempealeau,1,2,8,0,30,4,6,0
GRANCARE NURSING CENTER,525486,1555 DOUSMAN ST,GREEN BAY,Brown,0,0,2,0,50,1,0,0
MARSHFIELD CLINIC COMFORT AND RECOVERY-WAUSAU,525723,2727 PLAZA DR,WAUSAU,Marathon,0,0,0,0,0,0,0,0
RIVERVIEW HEALTH SERVICES,525332,428 N 6TH ST,TOMAHAWK,Lincoln,0,2,4,0,34,0,5,0
PLUM CITY CARE CTR,525440,301 CHERRY AVENUE WEST,PLUM CITY,Pierce,0,1,9,0,47,0,1,0
MINERAL POINT HEALTH SERVICES,525354,109 N IOWA ST,MINERAL POINT,Iowa,0,1,0,0,23,0,1,0
BAY AT SURING HEALTH AND REHAB CENTER (THE),525363,430 MANOR DR,SURING,Oconto,0,0,4,0,41,2,0,0
EDENBROOK OF APPLETON NORTH,525484,2915 N MEADE ST,APPLETON,Outagamie,0,4,11,0,86,0,4,0
COLFAX HEALTH AND REHABILITATION CENTER,525691,110 PARK DRIVE,COLFAX,Dunn,0,0,2,0,23,0,2,0
BAY AT SHERIDAN HEALTH AND REHABILITATION (THE),525318,8400 SHERIDAN RD,KENOSHA,Kenosha,,,,,,,,
CARE AND REHAB - BOSCOBEL,525373,207 PARKER ST,BOSCOBEL,Grant,1,2,4,1,35,2,8,0
MEADOWBROOK OF BLACK RIVER FALLS,525488,1311 TYLER ST,BLACK RIVER FALLS,Jackson,0,1,8,0,25,0,0,0
WHEATON FRANCISCAN HC - TERRACE AT ST FRANCIS,525552,3200 S 20TH ST,MILWAUKEE,Milwaukee,0,0,0,0,57,5,0,0
CHRISTIAN COMMUNITY HOME,525626,1320 WISCONSIN ST,HUDSON,St. Croix,0,14,13,0,37,2,30,0
ELLSWORTH HEALTH SERVICES,525483,403 N MAPLE ST,ELLSWORTH,Pierce,0,0,2,0,31,0,1,0
HAMMOND HEALTH SERVICES,525499,425 DAVIS ST,HAMMOND,St. Croix,1,3,7,1,29,1,7,0
SSM HEALTH ST MARY'S CARE CENTER,525276,3401 MAPLE GROVE DR,MADISON,Dane,0,23,18,0,146,7,33,0
NEILLSVILLE CARE AND REHAB,525629,316 SUNSET PLACE,NEILLSVILLE,Clark,0,0,5,0,31,1,2,0
PIGEON FALLS HCC,525687,13197 CHURCH ST,PIGEON FALLS,Trempealeau,0,2,1,0,37,0,9,0
PINE VIEW CARE CENTER,525409,400 COUNTY RD R,BLACK RIVER FALLS,Jackson,0,0,20,0,63,1,0,0
VILLA AT MIDDLETON VILLAGE (THE),525330,6201 ELMWOOD AVE,MIDDLETON,Dane,13,9,7,0,76,8,7,0
RIVER'S BEND HEALTH SERVICES,525475,960 S RAPIDS RD,MANITOWOC,Manitowoc,0,0,0,0,72,0,0,0
BENEDICTINE MANOR OF LACROSSE,525438,2902 E AVENUE SOUTH,LA CROSSE,La Crosse,3,1,9,0,59,10,6,0
MONTELLO CARE CENTER,525657,251 FOREST LANE,MONTELLO,Marquette,0,0,2,0,33,0,6,0
AUGUSTA HEALTH AND REHABILITATION,525535,901 BRIDGE CREEK LANE,AUGUSTA,Eau Claire,0,0,0,0,37,1,0,0
BETHEL HOME AND SERVICES,525591,614 S ROCK AVE,VIROQUA,Vernon,0,0,0,0,44,1,0,0
PINE HAVEN CHRISTIAN HOME,525676,220 HAVEN DRIVE,SHEBOYGAN FALLS,Sheboygan,10,1,0,0,36,9,10,0
WI VETERANS HOME-BOLAND HALL,525688,21425 E SPRING ST,UNION GROVE,Racine,28,8,46,10,134,30,29,0
LAKE MILLS HEALTH SERVICES,525314,901 MULBERRY ST,LAKE MILLS,Jefferson,0,0,0,0,34,0,0,0
GOLDEN YEARS HEALTH CENTER,525677,270 RIDGE ROAD,WALWORTH,Walworth,0,0,0,0,18,1,0,0
EDENBROOK OF FOND DU LAC,525274,265 S NATIONAL AVE,FOND DU LAC,Fond du Lac,0,0,2,0,54,4,0,0
MEADOWBROOK AT BLOOMER,525580,1840 PRIDDY ST,BLOOMER,Chippewa,0,0,4,0,15,0,0,0
LAKEVIEW HEALTH CENTER,525726,962 E GARLAND ST E,WEST SALEM,La Crosse,0,7,3,0,50,4,22,0
CEDAR LAKE HEALTH AND REHAB CENTER,525465,5595 CTY RD Z,WEST BEND,Washington,0,27,0,0,67,1,24,0
RENNES HEALTH AND REHAB CENTER-EAST,525457,701 WILLOW ST,PESHTIGO,Marinette,3,2,14,0,97,8,8,0
BEAVER DAM HEALTH CARE CENTER,525338,410 ROEDL CT,BEAVER DAM,Dodge,29,15,3,2,52,6,3,0
HAYWARD HEALTH SERVICES,525434,10775 NYMAN AVE,HAYWARD,Sawyer,0,0,4,0,39,2,11,0
EAST TROY MANOR,525561,3271 NORTH ST,EAST TROY,Walworth,0,1,4,0,38,0,1,0
