Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
HICKORY CREEK AT ROCHESTER,155430,340 E 18TH STREET,ROCHESTER,Fulton,,,,,,,,
DECATUR TOWNSHIP CENTER,155336,4851 TINCHER RD,INDIANAPOLIS,Marion,23,0,14,6,45,14,1,0
GOOD SAMARITAN SOCIETY NORTHWOOD RETIREMENT COMM,155282,2515 NEWTON ST,JASPER,Dubois,8,6,7,3,88,8,6,0
MILLER'S SENIOR LIVING COMMUNITY,155271,8400 CLEARVISTA PL,INDIANAPOLIS,Marion,0,0,11,1,64,1,0,0
WESTMINSTER VILLAGE MUNCIE INC,155170,5801 W BETHEL AVE,MUNCIE,Delaware,0,0,0,0,51,3,0,0
VALPARAISO CARE & REHABILITATION,155166,606 WALL STREET,VALPARAISO,Porter,0,0,6,0,129,6,3,0
MILLER'S MERRY MANOR,155118,787 N DETROIT ST,LAGRANGE,LaGrange,0,1,4,0,70,3,10,0
BEECH GROVE MEADOWS,155072,2002 ALBANY ST,BEECH GROVE,Marion,14,4,13,4,80,5,1,0
APERION CARE FRANKFORT,155295,809 W FREEMAN ST,FRANKFORT,Clinton,1,0,24,0,68,3,1,0
LOOGOOTEE NURSING CENTER,155263,12802 EAST US HWY 50,LOOGOOTEE,Martin,0,0,1,0,31,1,0,0
MEADOW VIEW HEALTH AND REHABILITATION,155325,900 ANSON ST,SALEM,Washington,0,0,10,0,70,9,5,0
GOLDEN LIVING CENTER-INDIANAPOLIS,155138,2860 CHURCHMAN AVE,INDIANAPOLIS,Marion,0,0,2,0,83,1,0,0
MILLER'S HEALTH & REHAB BY MILLER'S MERRY MANOR,155297,3530 MONROE STREET,LA PORTE,LaPorte,1,0,10,0,54,3,0,0
WOODLAND HILLS CARE CENTER,155061,403 BIELBY RD,LAWRENCEBURG,Dearborn,3,1,13,0,46,3,1,0
DANVILLE REGIONAL REHABILITATION,155132,255 MEADOW DR,DANVILLE,Hendricks,6,1,0,0,105,3,0,0
"WATERS OF NEW CASTLE, THE",155304,1000 N 16TH ST,NEW CASTLE,Henry,0,0,0,0,37,0,0,0
MILLER'S MERRY MANOR,155053,612 E 11TH ST,RUSHVILLE,Rush,0,3,0,0,60,3,4,0
MILLER'S MERRY MANOR,155049,1630 S COUNTY FARM RD,WARSAW,Kosciusko,15,13,0,0,78,11,13,0
HILLCREST VILLAGE,155203,203 SPARKS AVE,JEFFERSONVILLE,Clark,2,2,20,3,107,4,6,0
MILLER'S MERRY MANOR,155251,2901 W 37TH AVE,HOBART,Lake,11,0,2,0,42,4,1,0
"WATERS OF HUNTINGBURG, THE",155217,1712 LELAND DR,HUNTINGBURG,Dubois,0,0,0,0,43,3,0,0
MASON HEALTH CARE CENTER,155003,900 PROVIDENT DRIVE,WARSAW,Kosciusko,20,11,22,8,73,9,32,0
GREEN VALLEY CARE CENTER,155070,3118 GREEN VALLEY RD,NEW ALBANY,Floyd,58,0,21,11,88,35,5,1
MAJESTIC CARE OF WEST ALLEN,155322,6050 S CR 800 E 92,FORT WAYNE,Allen,14,10,8,1,75,11,0,0
GOLDEN LIVING CENTER-VALPARAISO,155137,251 STURDY RD,VALPARAISO,Porter,2,0,3,0,94,13,0,0
