Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
MISSION NURSING & REHABILITATION CENTER,455761,1013 S BRYAN RD,MISSION,Hidalgo,54,22,29,14,83,28,23,0
HURST PLAZA NURSING & REHAB,455850,215 E PLAZA BLVD,HURST,Tarrant,20,6,30,16,75,7,11,0
SPANISH MEADOWS,455802,440 E RUBEN TORRES BLVD,BROWNSVILLE,Cameron,13,2,9,3,90,12,4,0
HENDERSON HEALTH & REHABILITATION CENTER,455986,1010 W MAIN ST,HENDERSON,Rusk,45,15,15,5,82,16,6,0
TIMBERWOOD NURSING AND REHABILITATION CENTER,455745,4001 HWY 59 NORTH,LIVINGSTON,Polk,16,4,8,1,95,10,6,0
CLEVELAND HEALTH CARE CENTER,455952,903 E HOUSTON ST,CLEVELAND,Liberty,20,11,21,5,82,12,36,0
THE PALMS NURSING & REHABILITATION,455557,5607 EVERHART RD,CORPUS CHRISTI,Nueces,43,18,18,2,101,38,25,1
GRAND TERRACE REHABILITATION AND HEALTHCARE,455586,812 W HOUSTON AVE,MCALLEN,Hidalgo,59,28,18,10,50,34,26,0
GREENVIEW MANOR,455638,401 OWEN LN,WACO,McLennan,13,0,21,1,88,12,0,0
HUGULEY NURSING & REHAB CENTER,455763,301 HUGULEY BLVD,BURLESON,Johnson,48,6,15,6,102,6,27,0
TEXOMA HEALTHCARE CENTER,455573,1000 HWY 82 E,SHERMAN,Grayson,1,0,36,2,113,5,0,0
PARK MANOR HEALTH CARE AND REHABILITATION,455727,207 E PARKERVILLE RD,DESOTO,Dallas,11,0,19,4,83,3,2,0
DOWNTOWN HEALTH AND REHABILITATION CENTER,455651,424 S ADAMS ST,FORT WORTH,Tarrant,48,2,24,8,105,13,0,0
BIVINS POINTE,455456,1001 WALLACE BLVD,AMARILLO,Potter,2,0,0,0,34,2,0,0
"DESOTO LTC PARTNERS, INC",455994,1101 N HAMPTON RD,DESOTO,Dallas,14,0,1,1,44,2,1,0
MEMORIAL MEDICAL NURSING CENTER,455597,307 W CYPRESS ST,SAN ANTONIO,Bexar,49,5,38,22,80,27,0,0
ALTA VISTA REHABILITATION AND HEALTHCARE,455625,510 PAREDES LINE RD,BROWNSVILLE,Cameron,39,13,9,7,77,19,16,1
BROOKHAVEN NURSING AND REHABILITATION CENTER,455412,1855 CHEYENNE,CARROLLTON,Denton,41,5,19,10,74,22,0,0
WEATHERFORD HEALTH CARE CENTER,455574,521 W 7TH ST,WEATHERFORD,Parker,12,5,6,0,79,7,0,0
TEXHOMA CHRISTIAN CARE CENTER INC,455965,300 LOOP 11,WICHITA FALLS,Wichita,10,9,7,0,181,9,71,0
ARLINGTON HEIGHTS HEALTH AND REHABILITATION CENTER,455819,4825 WELLESLEY ST,FORT WORTH,Tarrant,3,0,18,0,111,4,0,0
AUSTIN WELLNESS & REHABILITATION,455799,11406 RUSTIC ROCK DRIVE,AUSTIN,Travis,56,22,17,13,74,18,4,0
LAKE WORTH NURSING HOME,455507,4220 WELLS DR,LAKE WORTH,Tarrant,,,,,,,,
COLONIAL MANOR NURSING CENTER,455631,2035 N GRANBURY ST,CLEBURNE,Johnson,61,43,26,21,77,46,21,0
WESTCHASE HEALTH AND REHABILITATION CENTER,455800,8820 TOWN PARK DR,HOUSTON,Harris,51,1,20,14,126,19,0,0
RETAMA MANOR NURSING CENTER/HARLINGEN,455822,820 CAMELOT DR,HARLINGEN,Cameron,45,0,20,4,107,6,0,0
PATRIOT HEIGHTS HEALTH CARE CENTER,455969,5000 FAWN MEADOW,SAN ANTONIO,Bexar,4,1,12,0,38,11,0,0
