Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
NHC HEALTHCARE -  ANDERSON,425052,1501 EAST GREENVILLE STREET,ANDERSON,Anderson,40,27,34,10,240,32,13,0
WHITE OAK MANOR - SPARTANBURG,425024,295 EAST PEARL STREET,SPARTANBURG,Spartanburg,0,5,8,0,48,6,55,0
MANNA REHABILITATION AND HEALTHCARE CENTER,425084,716 E CEDAR ROCK ST,PICKENS,Pickens,,,,,,,,
BRUSHY CREEK POST ACUTE,425004,101 COTTAGE CREEK CIRCLE,GREER,Greenville,,,,,,,,
INMAN HEALTHCARE,425122,51 N MAIN ST,INMAN,Spartanburg,24,0,15,7,24,8,2,0
NHC HEALTHCARE - GREENWOOD,425063,437 EAST CAMBRIDGE STREET,GREENWOOD,Greenwood,17,3,4,0,138,16,3,0
FAITH HEALTHCARE CENTER,425009,617 WEST MARION STREET,FLORENCE,Florence,73,2,12,3,82,27,4,0
WHITE OAK MANOR - NEWBERRY,425077,2555 KINARD STREET,NEWBERRY,Newberry,0,29,17,0,110,6,20,0
NHC HEALTHCARE - SUMTER,425109,1018 N GUIGNARD,SUMTER,Sumter,9,6,17,0,117,5,16,0
RIVERSIDE HEALTH AND REHAB,425082,2375 BAKER HOSP BLVD,CHARLESTON,Charleston,33,0,6,4,146,19,0,0
MAGNOLIA MANOR - GREENVILLE,425090,411 ANSEL ST,GREENVILLE,Greenville,132,39,11,5,83,40,20,0
OAKHAVEN NURSING CENTER,425064,123 OAK STREET,DARLINGTON,Darlington,10,1,15,0,59,7,1,0
SUMTER EAST HEALTH & REHABILITATION CENTER,425107,880 CAROLINA AVENUE,SUMTER,Sumter,23,1,28,6,145,6,0,0
WHITE OAK MANOR - CHARLESTON,425128,9285 MEDICAL PLAZA DR,CHARLESTON,Charleston,26,38,16,7,126,32,21,1
BRIAN CENTER NURSING CARE - ST ANDREWS,425129,3514 SIDNEY ROAD,COLUMBIA,Richland,0,0,7,0,86,8,0,0
VALLEY FALLS TERRACE,425096,400 LOCUST GROVE ROAD,SPARTANBURG,Spartanburg,14,2,18,0,79,7,6,0
KERSHAWHEALTH KARESH LONG TERM CARE,425080,1311 ROBERTS STREET,CAMDEN,Kershaw,0,16,0,0,77,1,6,0
PEACHTREE CENTRE,425095,1434 N LIMESTONE ST,GAFFNEY,Cherokee,3,1,14,1,97,4,11,0
PRUITTHEALTH-BARNWELL,425097,31 WREN STREET,BARNWELL,Barnwell,0,0,3,0,35,3,0,0
SUNNY ACRES NURSING HOME,425093,1727 BUCK SWAMP ROAD,FORK,Dillon,20,35,10,9,94,5,8,0
WHITE OAK MANOR - ROCK HILL,425088,1915 EBENEZER RD,ROCK HILL,York,1,1,11,0,124,14,3,0
CARLYLE SENIOR CARE OF KINGSTREE,425117,401 NELSON BOULEVARD,KINGSTREE,Williamsburg,61,4,25,19,66,27,5,0
JOHN EDWARD HARTER NURSING CENTER,425103,185 REVOLUTIONARY TRAIL,FAIRFAX,Allendale,1,0,0,0,26,1,0,0
WINDSOR MANOR,425114,5583 SUMMERTON HIGHWAY,MANNING,Clarendon,45,4,21,18,27,31,9,0
MOUNTAINVIEW NURSING HOME,425027,340 CEDAR SPRINGS ROAD,SPARTANBURG,Spartanburg,27,3,8,2,107,15,14,0
PRUITTHEALTH-ORANGEBURG,425085,755 WHITMAN STREET SE,ORANGEBURG,Orangeburg,12,1,20,0,62,15,0,0
CONDOR HEALTH ANDERSON,425047,611 EAST HAMPTON STREET,ANDERSON,Anderson,51,3,8,5,118,53,14,0
PRUITTHEALTH-WALTERBORO,425053,401 WITSELL STREET,WALTERBORO,Colleton,48,15,36,12,91,11,0,0
WHITE OAK MANOR - YORK,425089,111 SOUTH CONGRESS STREET,YORK,York,0,0,11,0,74,13,6,0
HEARTLAND HEALTH CARE CENTER - GREENVILLE EAST,425106,601 SULPHUR SPRINGS ROAD,GREENVILLE,Greenville,1,10,11,1,106,4,23,0
BLUE RIDGE IN GEORGETOWN,425048,2715 SOUTH ISLAND ROAD,GEORGETOWN,Georgetown,24,6,0,0,58,9,7,0
"LORIS REHAB AND NURSING CENTER, LLC",425086,3620 STEVENS STREET,LORIS,Horry,54,22,24,13,47,33,16,0
BAYVIEW MANOR,425067,11 TODD DRIVE,BEAUFORT,Beaufort,59,48,15,10,129,23,51,0
NHC HEALTHCARE - CLINTON,425071,304 JACOBS HIGHWAY,CLINTON,Laurens,33,0,14,10,104,45,9,0
MYRTLE BEACH MANOR,425070,"9547 HIGHWAY 17, NORTH",MYRTLE BEACH,Horry,0,0,4,0,25,5,8,0
EDISTO POST ACUTE,425116,575 STONEWALL JACKSON BOULEVARD,ORANGEBURG,Orangeburg,34,41,14,6,90,8,9,0
WHITE OAK MANOR - LANCASTER,425017,253 CRAIG MANOR ROAD,LANCASTER,Lancaster,30,9,33,5,102,28,6,0
HEALTHCARE CENTER OF WESLEY COMMONS,425078,1110 MARSHALL ROAD,GREENWOOD,Greenwood,6,1,4,4,72,12,11,0
FLEETWOOD REHABILITATION AND HEALTHCARE CENTER,425018,200 ANNE DRIVE,EASLEY,Pickens,1,0,6,0,96,2,1,0
ELLEN SAGAR NURSING CENTER,425012,1817 JONESVILLE HIGHWAY,UNION,Union,0,9,4,0,100,3,20,0
GREENVILLE POST ACUTE,425042,661 RUTHERFORD RD,GREENVILLE,Greenville,22,13,33,16,119,7,3,0
