Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
GRAND RIVER HEALTH & REHAB CENTER,365492,1515 BROOKSTONE BLVD,PAINESVILLE,Lake,0,0,9,0,76,2,0,0
RIVERSIDE MANOR NRSG & REHAB CTR,365429,1100 EAST STATE ROAD,NEWCOMERSTOWN,Tuscarawas,1,0,22,0,68,9,0,0
DIVERSICARE OF BRADFORD PLACE,365277,1302 MILLVILLE AVENUE,HAMILTON,Butler,35,0,22,1,104,9,3,0
LANCIA VILLA ROYALE,365531,1852 SINCLAIR AVENUE,STEUBENVILLE,Jefferson,0,0,9,0,43,2,0,0
BLUE ASH CARE CENTER,365218,4900 COOPER ROAD,CINCINNATI,Hamilton,1,0,0,0,40,14,5,0
ST CATHERINES MANOR OF WASHINGTON COURT HOUSE,365318,250 GLENN AVENUE,WASHINGTON COURT HOU,Fayette,18,19,12,5,43,5,1,0
GLEN MEADOWS,365554,3472 HAMILTON MASON ROAD,HAMILTON,Butler,22,0,11,2,76,13,0,0
DELHI POST-ACUTE,365530,5999 BENDER ROAD,CINCINNATI,Hamilton,0,0,10,0,64,8,2,0
ROSE LANE NURSING AND REHABILITATION,365289,5425 HIGH MILL AVENUE NW,MASSILLON,Stark,40,30,37,9,130,19,15,0
HEARTLAND OF WESTERVILLE,365611,1060 EASTWIND DRIVE,WESTERVILLE,Franklin,22,14,19,4,70,20,13,0
LIBERTY NURSING CENTER OF MANSFIELD,365475,535 LEXINGTON AVENUE,MANSFIELD,Richland,22,0,5,4,36,6,3,0
JACKSON HEALTHCARE,365393,8668 STATE ROUTE 93,JACKSON,Jackson,48,0,9,4,51,22,0,0
SOUTHBROOK CARE CENTER,365424,2299  S  YELLOW SPRINGS STREET,SPRINGFIELD,Clark,21,1,16,3,66,10,2,0
ARBORS AT GALLIPOLIS,365348,170 PINECREST DRIVE,GALLIPOLIS,Gallia,0,7,7,0,82,3,6,0
HILLSIDE PLAZA,365006,18220 EUCLID AVE,CLEVELAND,Cuyahoga,0,4,3,0,38,4,1,0
ALTERCARE OF ALLIANCE CTR FOR REHAB & NC INC,365402,11750 KLINGER AVENUE NE,ALLIANCE,Stark,10,3,8,1,65,1,0,0
ABBYSHIRE PLACE SKILLED NSG & REHAB CTR,365587,311 BUCKRIDGE ROAD,BIDWELL,Gallia,33,14,18,11,67,20,6,0
GAYMONT CARE AND REHABILITATION,365430,66 NORWOOD AVE,NORWALK,Huron,44,7,17,3,66,11,5,0
PICKAWAY MANOR CARE CENTER,365556,391 CLARK DRIVE,CIRCLEVILLE,Pickaway,0,0,21,0,70,6,0,0
ALLEN VIEW HEALTHCARE CENTER,365514,2615 DERR ROAD,SPRINGFIELD,Clark,96,12,29,18,86,27,2,0
GARDEN PARK HEALTH CARE CENTER,365529,3536 WASHINGTON AVE,CINCINNATI,Hamilton,28,10,5,1,53,10,1,0
PARK VISTA NURSING & REHAB BY MCARE HEALTH,365275,1216 5TH AVE,YOUNGSTOWN,Mahoning,1,2,12,4,79,3,1,0
EASTLAND HEALTH  CARE AND REHABILITATION CENTER,365572,2425 KIMBERLY PARKWAY EAST,COLUMBUS,Franklin,12,0,22,2,76,18,0,0
NORTH OLMSTED HEALTHCARE,365310,23225 LORAIN RD,NORTH OLMSTED,Cuyahoga,13,8,0,0,83,9,1,0
CLOVERNOOK HEALTH CARE AND REHABILITATION CENTER,365551,7025 CLOVERNOOK AVENUE,CINCINNATI,Hamilton,15,0,17,8,88,12,3,0
CRANDALL NURSING HOME,365574,800 S 15TH ST,SEBRING,Mahoning,88,72,66,42,94,45,36,1
LAKE POINTE REHABILITATION AND NURSING CENTER,365441,22 PARRISH ROAD,CONNEAUT,Ashtabula,0,0,2,0,37,21,0,0
REGENCY CARE OF COPLEY,365320,2631 COPLEY ROAD,AKRON,Summit,0,0,0,0,51,0,0,0
OAKS OF WEST KETTERING THE,365321,1150 WEST DOROTHY LANE,KETTERING,Montgomery,32,2,0,0,84,32,2,0
OHIO LIVING WESTMINSTER-THURBER,365416,717 NEIL AVENUE,COLUMBUS,Franklin,3,2,22,0,113,20,0,0
HARMONY CENTER FOR REHABILITATION AND HEALING,365601,164 OFFICE PARK DRIVE,XENIA,Greene,110,1,19,7,51,38,0,0
CARRIAGE INN OF CADIZ INC,365342,308 WEST WARREN STREET,CADIZ,Harrison,22,22,10,4,59,17,5,0
LIMA MANOR,365303,750 BROWER ROAD,LIMA,Allen,19,35,14,0,62,12,12,0
ARBORS WEST,365426,375 WEST MAIN STREET,WEST JEFFERSON,Madison,2,9,10,0,67,6,18,0
