Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
UMPQUA VALLEY NURSING & REHABILITATION CENTER,385143,525 W. UMPQUA STREET,ROSEBURG,Douglas,1,0,15,0,80,3,3,0
BEND TRANSITIONAL CARE,385253,900 NE 27TH STREET,BEND,Deschutes,0,46,25,0,40,5,5,0
MARQUIS VERMONT HILLS,385218,6010 SW SHATTUCK ROAD,PORTLAND,Multnomah,7,1,16,1,53,4,0,0
"EAST CASCADE RETIREMENT COMMUNITY, LLC",385181,175 NE 16TH STREET,MADRAS,Jefferson,0,0,0,0,17,1,0,0
EMPRES HILLSBORO HEALTH AND REHABILITATION CENTER,385217,1778 NE CORNELL ROAD,HILLSBORO,Washington,13,0,0,0,47,6,4,0
REGENCY GRESHAM NURSING & REHAB CENTER,385015,5905 SE POWELL VALLEY RD,GRESHAM,Multnomah,1,2,0,0,82,3,0,0
ROSE VILLA SENIOR LIVING COMMUNITY,38A031,13505 SE RIVER ROAD,PORTLAND,Clackamas,0,0,2,0,32,2,4,0
GATEWAY CARE AND RETIREMENT,385268,39 NE 102ND AVENUE,PORTLAND,Multnomah,,,,,,,,
PORTHAVEN HEALTHCARE CENTER,385045,5330 NE PRESCOTT STREET,PORTLAND,Multnomah,1,8,11,0,62,1,0,0
AVAMERE REHABILITATION OF OREGON CITY,385125,1400 DIVISION STREET,OREGON CITY,Clackamas,3,2,0,0,62,1,1,0
LAURELHURST VILLAGE,385010,3060 SE STARK STREET,PORTLAND,Multnomah,43,0,1335,4,179,2,23,0
COLUMBIA BASIN CARE FACILITY,385049,1015 WEBBER STREET,THE DALLES,Wasco,0,0,10,0,58,1,2,0
LINDA VISTA NURSING & REHAB CENTER,385197,135 MAPLE STREET,ASHLAND,Jackson,0,2,3,0,50,10,10,0
AVAMERE TRANSITIONAL CARE AT SUNNYSIDE,385189,4515 SUNNYSIDE ROAD SE,SALEM,Marion,0,2,1,0,76,1,5,0
OREGON VETERANS HOME,385257,700 VETERANS DRIVE,THE DALLES,Wasco,3,5,11,0,114,5,28,0
AVAMERE REHABILITATION OF EUGENE,385053,2360 CHAMBERS STREET,EUGENE,Lane,0,3,0,0,74,0,1,0
TIMBERVIEW CARE CENTER,385107,1023 6TH AVE SW,ALBANY,Linn,1,1,1,0,56,0,2,0
PRESTIGE POST-ACUTE & REHAB CENTER - MCMINNVILLE,385225,421 SE EVANS STREET,MCMINNVILLE,Yamhill,0,0,10,0,43,2,3,0
MARQUIS FOREST GROVE POST ACUTE REHAB,385204,3300 19TH AVENUE,FOREST GROVE,Washington,0,16,5,0,44,2,10,0
PROVIDENCE BENEDICTINE NURSING CENTER,385018,540 SOUTH MAIN STREET,MOUNT ANGEL,Marion,2,0,8,0,77,9,0,0
REGENCY HERMISTON NURSING & REHAB CENTER,385263,970 W JUNIPER AVENUE,HERMISTON,Umatilla,60,18,15,11,41,44,3,0
MARQUIS OREGON CITY POST ACUTE REHAB,385221,1680 MOLALLA AVENUE,OREGON CITY,Clackamas,9,8,6,0,58,6,1,0
REGENCY FLORENCE,385142,1951 E. 21ST STREET,FLORENCE,Lane,0,1,12,0,45,0,4,0
MARQUIS AUTUMN HILLS MEMORY CARE,38A026,6630 SW BVTRN-HILLS HWY,PORTLAND,Washington,0,0,12,0,34,0,2,0
FERNHILL ESTATES,385237,5737 NE 37TH AVENUE,PORTLAND,Multnomah,0,3,1,0,40,7,13,0
ROSE LINN CARE CENTER,385278,2330 DEBOK ROAD,WEST LINN,Clackamas,1,0,9,0,60,3,3,0
AVAMERE REHABILITATION OF COOS BAY,385239,2625 KOOS BAY BLVD,COOS BAY,Coos,3,6,3,0,41,3,10,0
PORTLAND HEALTH & REHABILITATION  CENTER,385228,12441 SE STARK STREET,PORTLAND,Multnomah,0,0,0,0,44,3,4,0
MARQUIS MARIAN ESTATES,385240,390 SE CHURCH STREET,SUBLIMITY,Marion,3,1,0,0,59,2,10,0
AVAMERE HEALTH SERVICES OF ROGUE VALLEY,385024,625 STEVENS STREET,MEDFORD,Jackson,0,0,8,0,55,5,3,0
GREEN VALLEY REHABILITATION HEALTH CENTER,385156,1735 ADKINS STREET,EUGENE,Lane,1,1,22,0,107,2,9,0
LIFE CARE CTR OF COOS BAY,385157,2890 OCEAN BLVD,COOS BAY,Coos,0,0,7,0,49,0,0,0
HOOD RIVER CARE CENTER,385104,729 HENDERSON ROAD,HOOD RIVER,Hood River,0,2,10,0,54,4,27,0
MENNONITE HOME,385206,5353 COLUMBUS STREET SE,ALBANY,Linn,4,2,9,1,64,6,23,0
MYRTLE POINT CARE CENTER,385254,637 ASH STREET,MYRTLE POINT,Coos,0,2,4,0,20,1,6,0
SALEM TRANSITIONAL CARE,385234,3445 BOONE ROAD SE,SALEM,Marion,13,8,10,3,68,15,8,0
MOLALLA MANOR CARE CENTER,385150,301 RIDINGS AVENUE,MOLALLA,Clackamas,0,4,0,0,42,0,4,0
ROSE HAVEN NURSING CENTER,385151,740 NW HILL,ROSEBURG,Douglas,0,0,14,0,83,0,0,0
INDEPENDENCE HEALTH AND REHABILITATION CENTER,385188,1525 MONMOUTH STREET,INDEPENDENCE,Polk,0,1,4,0,33,1,0,0
WILLAMETTE VIEW HEALTH CENTER,385200,13145 SE RIVER ROAD,MILWAUKIE,Clackamas,0,0,0,0,5,1,0,0
MILTON FREEWATER HEALTH AND REHABILITATION CENTER,385161,120 ELZORA STREET,MILTON FREEWATER,Umatilla,,,,,,,,
CLATSOP CARE CENTER,385144,646 16TH STREET,ASTORIA,Clatsop,0,0,7,0,25,1,1,0
OREGON CITY HEALTH CARE CENTER,385245,148 HOOD STREET,OREGON CITY,Clackamas,1,2,7,0,31,1,6,0
WILLOWBROOK TERRACE,385201,707 SW 37TH STREET,PENDLETON,Umatilla,0,0,1,0,34,1,8,0
GRESHAM POST ACUTE CARE AND REHABILITATION,385190,405 NE 5TH STREET,GRESHAM,Multnomah,1,0,0,0,57,4,0,0
SHERIDAN CARE CENTER,385275,411 SE SHERIDAN ROAD,SHERIDAN,Yamhill,0,14,0,0,40,0,62,0
CASCADE TERRACE,385187,5601 SE 122ND AVENUE,PORTLAND,Multnomah,10,25,6,0,60,10,12,0
FOREST GROVE REHABILITATION AND CARE CENTER,385155,3900 PACIFIC AVENUE,FOREST GROVE,Washington,1,17,12,0,54,5,11,0
LIFE CARE CENTER OF MCMINNVILLE,385171,1309  NE 27TH STREET,MCMINNVILLE,Yamhill,9,8,3,0,45,11,9,0
ROGUE VALLEY MANOR,385250,1200 MIRA MAR AVENUE,MEDFORD,Jackson,0,10,13,0,32,4,46,0
VALLEY WEST HEALTH CARE CENTER,385120,2300 WARREN STREET,EUGENE,Lane,1,15,17,0,59,1,29,0
AVAMERE REHABILITATION OF CLACKAMAS,385203,220 E. HEREFORD,GLADSTONE,Clackamas,2,4,8,0,43,7,4,0
MARQUIS PIEDMONT POST ACUTE REHAB,385208,319 NE RUSSET,PORTLAND,Multnomah,0,7,14,0,61,4,8,0
AVAMERE CRESTVIEW OF PORTLAND,385031,6530 SW 30TH AVENUE,PORTLAND,Multnomah,20,18,11,2,79,8,15,0
PROVIDENCE CHILD CENTER,38A001,830 NE 47TH AVENUE,PORTLAND,Multnomah,0,3,0,0,28,3,5,0
PIONEER NURSING HOME,385273,1060 D STREET WEST,VALE,Malheur,1,1,7,0,23,5,9,0
AVAMERE REHABILITATION OF NEWPORT,385162,835 SW 11TH STREET,NEWPORT,Lincoln,24,10,7,6,41,23,8,0
AVAMERE REHABILITATION OF LEBANON,385168,350 S. 8TH,LEBANON,Linn,0,7,3,0,71,0,0,0
MARQUIS MT TABOR,385141,6040 SE BELMONT STREET,PORTLAND,Multnomah,3,10,16,0,77,9,16,0
COLUMBIA CARE CENTER,385283,33910 E. COLUMBIA AVENUE,SCAPPOOSE,Columbia,0,7,1,0,28,0,17,0
CASCADE MANOR,385276,65 WEST 30TH AVENUE,EUGENE,Lane,0,2,1,0,14,0,20,0
REGENCY ALBANY,385220,805 19TH AVENUE SE,ALBANY,Linn,1,15,6,0,39,11,5,0
CHEHALEM HEALTH & REHAB,385199,1900 E. FULTON STREET,NEWBERG,Yamhill,0,0,9,0,42,2,1,0
WINDSOR HEALTH & REHABILITATION CENTER,385224,820 COTTAGE STREET NE,SALEM,Marion,0,4,0,0,32,3,11,0
VILLAGE AT HILLSIDE,385269,400 NW HILLSIDE PARK WAY,MCMINNVILLE,Yamhill,1,23,4,0,9,4,1,0
MARYVILLE,385166,14645 SW FARMINGTON ROAD,BEAVERTON,Washington,33,9,47,7,92,35,66,0
REGENCY PRINEVILLE REHABILITATION & NURSING CENTER,385261,950 NE ELM STREET,PRINEVILLE,Crook,0,0,3,0,24,0,0,0
MARQUIS HOPE VILLAGE,385260,1577 S IVY,CANBY,Clackamas,36,53,8,7,41,46,0,0
MARQUIS PLUM RIDGE POST ACUTE REHAB,385137,1401 BRYANT WILLIAMS DR.,KLAMATH FALLS,Klamath,0,0,22,0,77,1,6,0
SOUTH HILLS REHABILITATION CEN,385167,1166 E. 28TH AVENUE,EUGENE,Lane,0,1,23,0,81,2,3,0
LEBANON VETERANS HOME,385280,600 NORTH 5TH STREET,LEBANON,Linn,21,1,54,7,134,16,5,0
BLUE MOUNTAIN CARE CENTER,38E040,112 EAST FIFTH STREET,PRAIRIE CITY,Grant,0,0,5,0,13,0,1,0
AVAMERE REHABILITATION OF HILLSBORO,385251,650 SE OAK STREET,HILLSBORO,Washington,0,0,21,0,77,5,0,0
FRIENDSHIP HEALTH CENTER,385121,3320 SE HOLGATE BLVD,PORTLAND,Multnomah,0,67,0,0,72,11,43,0
CREEKSIDE REHABILITATION AND NURSING,385277,812 SE 48TH AVENUE,PORTLAND,Multnomah,24,2,2,1,30,0,1,0
CORNERSTONE CARE OPTION,38E173,12640 SE BUSH,PORTLAND,Multnomah,0,2,5,0,39,0,0,0
MARQUIS SPRINGFIELD,385077,1333 N. 1ST STREET,SPRINGFIELD,Lane,0,11,1,0,79,3,15,0
TIERRA ROSE CARE CENTER,38E075,4254 WEATHERS STREET NE,SALEM,Marion,1,3,15,0,67,12,7,0
MARQUIS CENTENNIAL POST ACUTE REHAB,385183,725 SE 202ND AVENUE,PORTLAND,Multnomah,40,44,6,4,42,20,2,0
PACIFIC HEALTH AND REHABILITATION,385272,14145 SW 105TH AVENUE,TIGARD,Washington,0,0,32,35,49,3,5,0
AIDAN SENIOR LIVING AT REEDSPORT,385164,600 RANCH ROAD,REEDSPORT,Douglas,0,0,4,0,17,0,4,0
REGENCY REDMOND REHABILITATION AND NURSING CENTER,385230,3025 SW RESERVOIR DRIVE,REDMOND,Deschutes,0,1,0,0,32,7,16,0
SECORA REHABILITATION OF CASCADIA,385264,10435 SE CORA STREET,PORTLAND,Multnomah,1,0,0,0,51,4,0,0
AVAMERE REHABILITATION OF BEAVERTON,385195,11850 SW ALLEN BLVD.,BEAVERTON,Washington,3,4,3,0,74,5,5,0
PILOT BUTTE REHABILITATION CENTER,385138,1876 NE HIGHWAY 20,BEND,Deschutes,0,0,7,0,30,3,4,0
CRESWELL HEALTH AND REHABILITATION CENTER,385182,735 SOUTH 2ND STREET,CRESWELL,Lane,0,10,0,0,43,0,1,0
AVAMERE REHABILITATION OF JUNCTION CITY,385229,530 BIRCH STREET,JUNCTION CITY,Lane,0,1,26,0,38,1,0,0
ROBISON JEWISH HEALTH CENTER,385145,6125 SW BOUNDARY STREET,PORTLAND,Multnomah,4,27,3,2,61,8,55,0
ROYALE GARDENS HEALTH & REHABILITATION CENTER,385148,2075 NW HIGHLAND AVENUE,GRANTS PASS,Josephine,0,12,4,0,109,0,5,0
COAST FORK NURSING CENTER,385152,515 GRANT STREET,COTTAGE GROVE,Lane,0,2,12,0,40,0,8,0
GOOD SAMARITAN SOCIETY - EUGENE VILLAGE,385147,3500 HILYARD STREET,EUGENE,Lane,0,0,13,0,34,0,0,0
AVAMERE RIVERPARK OF EUGENE,385185,425 ALEXANDER LOOP,EUGENE,Lane,1,0,0,0,93,3,0,0
HEARTHSTONE NURSING & REHABILITATION CENTER,385091,2901 E. BARNETT ROAD,MEDFORD,Jackson,0,5,0,0,57,1,10,0
HIGHLAND HOUSE NURSING & REHABILITATION CENTER,385149,2201 NW HIGHLAND AVENUE,GRANTS PASS,Josephine,0,2,24,0,111,0,2,0
FRENCH PRAIRIE NURSING & REHABILITATION CENTER,385117,601 EVERGREEN ROAD,WOODBURN,Marion,46,48,15,12,43,30,46,0
MARQUIS TUALATIN POST ACUTE REHAB,385279,19945 SW BOONES FERRY ROAD,TUALATIN,Clackamas,8,0,2,1,34,10,5,0
"PEARL AT KRUSE WAY, THE",385271,4550 CARMAN DRIVE,LAKE OSWEGO,Clackamas,0,1,1,0,36,10,2,0
WEST HILLS HEALTH & REHABILITATION,385112,5701 SW MULTNOMAH BLVD,PORTLAND,Multnomah,1,50,12,0,81,7,86,0
MIRABELLA PORTLAND,385274,3550 SW BOND AVE,PORTLAND,Multnomah,1,1,4,0,29,2,24,0
CORVALLIS MANOR,385072,160 NE CONIFER BLVD,CORVALLIS,Benton,6,28,10,0,70,2,15,0
DALLAS RETIREMENT VILLAGE HEALTH CENTER,385207,377 NW JASPER STREET,DALLAS,Polk,0,0,15,0,95,3,32,0
AVAMERE COURT AT KEIZER,385233,5210 RIVER ROAD N.,KEIZER,Marion,2,46,22,1,59,4,3,0
REGENCY CARE OF ROGUE VALLEY,385064,1710 NE FAIRVIEW AVENUE,GRANTS PASS,Josephine,0,5,5,0,42,0,8,0
MARQUIS MILL PARK,385214,1475 SE 100TH AVENUE,PORTLAND,Multnomah,5,0,9,0,46,12,3,0
PRESTIGE POST-ACUTE & REHAB CENTER - MILWAUKIE,385270,12045 SE STANLEY AVENUE,MILWAUKIE,Clackamas,3,12,0,0,56,5,7,0
GLISAN CARE CENTER,385136,9750 NE GLISAN STREET,PORTLAND,Multnomah,1,5,1,0,61,1,4,0
MARQUIS WILSONVILLE POST ACUTE REHAB,385266,30900 SW PARKWAY AVENUE,WILSONVILLE,Clackamas,0,1,0,0,43,2,2,0
LAKEVIEW GARDENS,385115,1230 SOUTH 9TH ST,LAKEVIEW,Lake,0,2,0,0,19,0,0,0
MARQUIS NEWBERG,385180,441 WERTH BLVD,NEWBERG,Yamhill,0,17,0,0,45,0,10,0
