Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
BELLA TERRA OF BILLINGS,275020,1807 24TH ST W,BILLINGS,Yellowstone,1,13,3,0,64,12,46,0
CONTINENTAL CARE AND REHABILITATION,275103,2400 CONTINENTAL DR,BUTTE,Silver Bow,31,0,7,7,38,20,2,0
BEARTOOTH MANOR,275090,350 W PIKE AVE,COLUMBUS,Stillwater,0,1,6,0,36,0,1,0
ROSEBUD HEALTH CARE CENTER,275072,383 N 17TH AVE,FORSYTH,Rosebud,2,0,6,0,29,7,6,0
IVY AT GREAT FALLS,275026,1130 17TH AVE S,GREAT FALLS,Cascade,17,1,3,0,128,23,0,1
MARIAS CARE CENTER,275061,630 PARK DRIVE,SHELBY,Toole,5,0,5,2,19,4,1,0
BIG SKY CARE CENTER,275044,2475 WINNE AVE,HELENA,Lewis and Clark,0,11,2,0,30,0,19,0
NORTHERN MONTANA CARE CENTER,275112,24 13TH ST,HAVRE,Hill,35,0,33,17,52,37,9,0
BRIDGER REHAB AND CARE CENTER,275115,321 N FIFTH AVE,BOZEMAN,Gallatin,0,1,5,0,35,3,11,0
LAUREL HEALTH & REHABILITATION CENTER,275111,820 3RD AVE,LAUREL,Yellowstone,1,4,6,0,45,2,13,0
RIVERSIDE HEALTH & REHABILITATION,275126,1301 E BROADWAY,MISSOULA,Missoula,11,1,11,0,56,3,0,0
IMMANUEL SKILLED CARE CENTER,275129,185 CRESTLINE AVE,KALISPELL,Flathead,5,21,24,1,87,20,84,0
MONTANA MENTAL HEALTH NURSING HOME,27A052,800 CASINO CREEK DR,LEWISTOWN,Fergus,6,1,6,1,77,10,10,0
COPPER RIDGE HEALTH AND REHABILITATION CENTER,275060,3251 NETTIE ST,BUTTE,Silver Bow,17,0,4,0,60,7,0,0
LIBBY CARE CENTER,275040,308 E THIRD ST,LIBBY,Lincoln,10,0,31,2,66,7,2,0
MADISON VALLEY MANOR,275136,211 N MAIN ST,ENNIS,Madison,0,2,13,0,19,3,7,0
FAITH LUTHERAN HOME,275073,1000 6TH AVE N,WOLF POINT,Roosevelt,30,6,6,4,39,11,11,0
ST LUKE COMMUNITY NURSING HOME,275093,107 6TH AVE S W,RONAN,Lake,2,0,3,0,39,4,1,0
GOOD SAMARITAN SOCIETY - MOUNTAIN VIEW MANOR,275084,10 MOUNTAIN VIEW DR,EUREKA,Lincoln,0,0,11,0,28,0,5,0
BLACKFEET CARE CENTER,275133,728 S GOVERNMENT SQ,BROWNING,Glacier,8,0,0,0,14,19,1,0
AWE KUALAWAACHE CARE CENTER,275153,10131 S HERITAGE RD,CROW AGENCY,Big Horn,15,5,7,5,14,23,14,0
MISSOULA HEALTH & REHABILITATION CENTER,275035,3018 RATTLESNAKE DR,MISSOULA,Missoula,0,6,0,0,30,1,14,0
GLENDIVE MEDICAL CENTER N H,275067,202 PROSPECT DR,GLENDIVE,Dawson,0,24,4,0,33,7,18,0
IVY AT DEER LODGE,275134,1100 TEXAS AVE,DEER LODGE,Powell,0,1,3,0,43,3,13,0
CEDAR WOOD VILLA,275053,1 S OAKS,RED LODGE,Carbon,12,15,2,0,40,10,2,0
VALLE VISTA MANOR,275021,402 SUMMIT AVE,LEWISTOWN,Fergus,0,3,10,1,31,2,6,0
PARK PLACE TRANSITIONAL CARE AND REHABILITATION,275030,1500 32ND ST S,GREAT FALLS,Cascade,2,0,13,0,77,5,0,0
MOUNTAIN VIEW CARE CENTER,275148,829 MAIN ST SW,RONAN,Lake,0,0,3,0,19,2,0,0
VALLEY VIEW HOME,275091,1225 PERRY LN,GLASGOW,Valley,11,0,3,2,56,17,17,0
ELKHORN HEALTHCARE & REHABILITATION,275056,474 HWY 282,CLANCY,Jefferson,0,0,7,0,60,0,0,0
SHERIDAN MEMORIAL NURSING HOME,275070,440 W LAUREL AVE,PLENTYWOOD,Sheridan,0,0,1,0,27,1,0,0
WHITEFISH CARE AND REHABILITATION,275132,1305 E 7TH ST,WHITEFISH,Flathead,,,,,,,,
LIVINGSTON HEALTH & REHABILITATION CENTER,275047,510 S 14TH ST,LIVINGSTON,Park,0,0,5,0,45,1,1,0
AVANTARA OF BILLINGS,275029,2115 CENTRAL AVE,BILLINGS,Yellowstone,51,12,19,10,61,26,8,0
ST JOHN'S LUTHERAN HOME,275024,3940 RIMROCK RD,BILLINGS,Yellowstone,4,0,28,1,110,21,40,0
ROCKY MOUNTAIN CARE CENTER,275114,30 S RODNEY ST,HELENA,Lewis and Clark,0,0,4,0,30,0,2,0
EAGLE CLIFF MANOR,275123,1415 YELLOWSTONE RIVER RD,BILLINGS,Yellowstone,2,0,7,0,34,7,5,0
GALLATIN REST HOME,275066,1221 W DURSTON RD,BOZEMAN,Gallatin,3,2,7,0,50,8,14,0
CLARK FORK VALLEY NURSING HOME,275107,10 KRUGER RD,PLAINS,Sanders,0,1,0,0,27,0,4,0
HI-LINE RETIREMENT CENTER,275131,801 S 3RD ST E,MALTA,Phillips,16,5,4,4,32,21,5,0
PIONEER CARE AND REHABILITATION,275124,200 N OREGON ST,DILLON,Beaverhead,0,0,1,0,45,3,0,0
FRIENDSHIP VILLA,275081,2300 WILSON,MILES CITY,Custer,0,2,0,0,36,1,4,0
HILLSIDE HEALTH & REHABILITATION,275027,4720 23RD AVENUE,MISSOULA,Missoula,0,0,23,0,58,5,0,0
HERITAGE PLACE,275025,171 HERITAGE WAY,KALISPELL,Flathead,0,9,8,0,66,4,17,0
CREST NURSING HOME,275122,3131 AMHERST AVE,BUTTE,Silver Bow,0,1,15,0,50,2,1,0
VALLEY VIEW ESTATES HEALTH & REHABILITATION,275101,225 N 8TH ST,HAMILTON,Ravalli,8,0,7,0,41,16,2,0
