Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
MEEKER NURSING CENTER,375326,500 NORTH DAWSON STREET,MEEKER,Lincoln,39,3,28,13,46,37,12,0
CORDELL CHRISTIAN HOME,375306,1400 NORTH COLLEGE,CORDELL,Washita,13,0,10,1,43,7,2,0
"SEQUOYAH MANOR, LLC",375173,615 EAST REDWOOD,SALLISAW,Sequoyah,27,4,22,7,82,26,47,0
WASHITA VALLEY LIVING CENTER,375342,105 WASHINGTON,PAULS VALLEY,Garvin,1,0,10,0,46,4,0,0
THE OAKS HEALTHCARE CENTER,375166,1501 CLAYTON AVENUE,POTEAU,Le Flore,0,0,9,0,89,1,1,0
MID-DEL SKILLED NURSING AND THERAPY,375186,400 SOUTH SCOTT STREET,DEL CITY,Oklahoma,50,1,9,6,37,33,1,0
MUSCOGEE (CREEK) NATION SKILLED NURSING FACILITY,375314,900 EAST AIRPORT ROAD,OKMULGEE,Okmulgee,0,0,0,0,5,6,0,0
BROADWAY MANOR NURSING HOME,375146,1622 EAST BROADWAY,MUSKOGEE,Muskogee,25,25,14,10,68,25,2,0
AMBASSADOR MANOR NURSING CENTER,375168,1340 EAST 61ST STREET,TULSA,Tulsa,89,5,17,13,108,25,2,0
BURFORD MANOR,375325,505 SOUTH 7TH STREET,DAVIS,Murray,84,0,6,4,49,35,0,0
WARR ACRES NURSING CENTER,375275,6501 NORTH MACARTHUR,OKLAHOMA CITY,Oklahoma,18,6,14,3,72,20,0,0
GRACE SKILLED NURSING AND THERAPY JENKS,375358,711 NORTH 5TH STREET,JENKS,Tulsa,96,4,27,8,131,49,0,0
COLONIAL TERRACE CARE CENTER,375299,1320 NORTHEAST 1ST PLACE,PRYOR,Mayes,1,0,1,0,45,8,0,0
COMMUNITY HEALTH CARE OF GORE,375295,503 SOUTH MAIN STREET,GORE,Sequoyah,1,0,1,0,,8,7,0
SEQUOYAH POINTE LIVING CENTER,375344,8515 NORTH 123RD EAST AVENUE,OWASSO,Tulsa,13,0,14,0,32,11,0,0
COTTONWOOD CREEK SKILLED NURSING & THERAPY,375144,2300 IOWA AVENUE,CHICKASHA,Grady,1,3,0,0,72,0,1,0
NOWATA NURSING CENTER,375354,436 SOUTH JOE,NOWATA,Nowata,0,0,6,0,29,0,10,0
MCLOUD NURSING CENTER,375347,701 SOUTH 8TH STREET,MCLOUD,Pottawatomie,0,3,6,0,56,3,11,0
GLENWOOD SKILLED NURSING AND THERAPY,375148,1700 EAST 141ST STREET,GLENPOOL,Tulsa,58,4,9,2,60,34,19,0
"SPIRO NURSING HOME, INC.",375258,401 SOUTH MAIN,SPIRO,Le Flore,4,3,12,2,49,14,3,0
UNIVERSITY PARK SKILLED NURSING AND THERAPY MEMORY,375185,1201 NORTH VINITA AVENUE,TAHLEQUAH,Cherokee,0,6,4,0,78,4,10,0
BROKEN BOW NURSING HOME,375165,700 WEST JONES,BROKEN BOW,McCurtain,41,31,130,8,52,25,20,0
CHEROKEE COUNTY NURSING CENTER,375324,1504 NORTH CEDAR AVENUE,TAHLEQUAH,Cherokee,0,0,11,0,94,5,0,0
THE WILSHIRE SKILLED NURSING AND THERAPY,375189,505 EAST WILSHIRE BLVD,OKLAHOMA CITY,Oklahoma,10,1,0,0,37,10,1,0
LANDMARK OF MIDWEST CITY REHABILITATION AND NURSIN,375252,8200 NATIONAL AVENUE,MIDWEST CITY,Oklahoma,56,22,16,12,77,25,36,0
RIVERSIDE HEALTH SERVICES,375371,1008 ARKANSAS STREET,ARKOMA,Le Flore,0,0,0,0,34,5,1,0
BARTLESVILLE HEALTH AND REHABILITATION COMMUNITY,375110,3434 KENTUCKY PLACE,BARTLESVILLE,Washington,56,3,38,17,59,45,7,0
MANGUM SKILLED NURSING AND THERAPY,375207,320 CAREY STREET,MANGUM,Greer,3,17,12,12,53,7,20,0
GRACE SKILLED AND NURSING THERAPY NORMAN,375122,4554 WEST MAIN,NORMAN,Cleveland,2,0,19,0,95,4,0,0
GREENBRIER NURSING HOME,375353,1119 EAST OWEN K GARRIOTT ROAD,ENID,Garfield,70,2,44,17,86,88,0,0
ANTLERS MANOR,375313,511 EAST MAIN,ANTLERS,Pushmataha,0,0,5,0,32,3,7,0
MEMORIAL HEIGHTS NURSING CENTER,375123,1305 SOUTHEAST ADAMS,IDABEL,McCurtain,17,0,10,7,33,17,0,1
LAKE COUNTRY NURSING CENTER,375310,301 C E COLSTON DRIVE,MARIETTA,Love,23,25,9,2,46,25,17,0
WALNUT GROVE LIVING CENTER,375340,1001 SOUTH GEORGE NIGH EXPRESSWAY,MCALESTER,Pittsburg,47,6,22,10,50,26,13,0
GRACE LIVING CENTER-CLINTON,375141,2400 WEST MODELLE,CLINTON,Custer,9,0,7,1,71,14,4,0
HERITAGE VILLA NURSING CENTER,375109,1244 WOODLAND LOOP DRIVE,BARTLESVILLE,Washington,15,6,9,4,59,14,15,0
CIMARRON NURSING CENTER,375102,905 BEALL ROAD,KINGFISHER,Kingfisher,42,1,21,10,45,22,0,1
SOUTHERN HILLS REHABILITATION CENTER,375172,5170 SOUTH VANDALIA,TULSA,Tulsa,25,23,12,3,68,15,4,1
WINDRIDGE NURSING AND REHABILITATION CENTER,375335,2530 NORTH ELM STREET,MIAMI,Ottawa,10,2,5,2,37,6,0,0
RIVER OAKS SKILLED NURSING AND THERAPY,375113,1901 PARKVIEW DRIVE,EL RENO,Canadian,72,3,12,3,64,27,1,0
WAGONER HEALTH & REHAB,375369,205 NORTH LINCOLN AVENUE,WAGONER,Wagoner,0,0,6,0,49,9,7,0
THE GRAND AT BETHANY SKILLED NURSING AND THERAPY,375107,7000 NORTHWEST 32ND STREET,BETHANY,Oklahoma,47,33,2,0,97,27,47,0
MEADOWBROOK NURSING CENTER,375276,113 EAST JONES,CHOUTEAU,Mayes,0,0,1,0,34,2,0,0
OAK HILLS LIVING CENTER,375117,1100 WEST GEORGIA,JONES,Oklahoma,3,1,4,0,68,10,0,0
HERITAGE VILLAGE NURSING HOME,375199,801 HWY 48 NORTH,HOLDENVILLE,Hughes,13,0,21,1,60,13,7,0
HILLCREST NURSING CENTER,375331,2120 NORTH BROADWAY,MOORE,Cleveland,6,1,1,1,,11,1,0
FOUR SEASONS REHABILITATION & CARE,375238,1212 FOUR SEASONS DRIVE,DURANT,Bryan,2,10,0,0,51,7,27,0
CIMARRON POINTE CARE CENTER,375346,404 EAST CIMARRON,MANNFORD,Creek,24,2,16,5,36,27,0,0
GRAND LAKE VILLA,375116,103 HAR-BER ROAD,GROVE,Delaware,57,12,21,8,51,27,3,0
