Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
OGLALA SIOUX LAKOTA NURSING HOME,28E300,"7835 ELDERS DRIVE, STATE HIGHWAY 87",RUSHVILLE,Sheridan,0,0,0,0,36,1,4,0
WESTFIELD QUALITY CARE OF AURORA,285263,"PO BOX 166, 1313 1ST STREET",AURORA,Hamilton,33,32,17,13,41,16,33,0
WILBER CARE CENTER,285172,611 NORTH MAIN,WILBER,Saline,0,5,6,0,39,2,4,0
CROWELL MEMORIAL HOME,285210,245 SOUTH 22ND STREET,BLAIR,Washington,0,0,1,0,56,0,0,0
DAVID PLACE,285074,260 SOUTH 10TH STREET,DAVID CITY,Butler,0,0,5,0,55,1,9,0
CHRISTIAN HOMES HEALTH CARE CENTER,285246,1923 WEST 4TH AVENUE,HOLDREGE,Phelps,0,0,0,0,67,3,8,0
SOUTHLAKE VILLAGE REHABILITATION & CARE CENTER,285219,9401 ANDERMATT DRIVE,LINCOLN,Lancaster,0,0,0,0,101,3,26,0
AZRIA HEALTH MIDTOWN,285218,910 SOUTH 40TH STREET,OMAHA,Douglas,9,3,4,1,33,4,3,0
BEATRICE HEALTH AND REHABILITATION,285130,1800 IRVING STREET,BEATRICE,Gage,0,1,3,0,63,0,3,0
HERITAGE OF RED CLOUD,285225,636 NORTH LOCUST STREET,RED CLOUD,Webster,0,0,1,0,31,0,0,0
GOOD SAMARITAN SOCIETY - BEATRICE,285203,401 S 22ND STREET,BEATRICE,Gage,0,0,5,0,69,1,0,0
PRESTIGE CARE CENTER OF NEBRASKA CITY,285109,1420 NORTH 10TH STREET,NEBRASKA CITY,Otoe,0,0,0,0,57,0,0,0
GOOD SAMARITAN SOCIETY - ST JOHNS,285189,3410 CENTRAL AVENUE,KEARNEY,Buffalo,0,0,0,0,39,0,0,0
WAKEFIELD HEALTH CARE CENTER,285209,306 ASH STREET,WAKEFIELD,Dixon,0,0,8,0,23,0,0,0
PARKSIDE MANOR,285245,"P O BOX 350, 607 NORTH MAIN STREET",STUART,Holt,0,0,1,0,23,2,0,0
HILLCREST SHADOW LAKE,28E299,1507 E GOLD COAST ROAD,PAPILLION,Sarpy,0,0,6,0,88,1,3,0
"SUTTON COMMUNITY HOME, INC.",285277,1106 NORTH SAUNDERS,SUTTON,Clay,0,0,1,0,25,3,0,0
HERITAGE ESTATES,285071,2325 LODGE DRIVE,GERING,Scotts Bluff,0,0,7,0,88,4,0,0
GENOA COMMUNITY HOSPITAL/LTC,28E271,"P O BOX 310, 606/706 EWING AVENUE",GENOA,Nance,0,0,3,0,36,0,2,0
EMERALD NURSING & REHAB COZAD,285093,318 WEST 18TH STREET,COZAD,Dawson,0,1,3,0,53,2,6,0
CENTENNIAL PARK RETIREMENT VILLAGE,285094,510 CENTENNIAL CIRCLE,NORTH PLATTE,Lincoln,0,0,4,0,77,1,7,0
FALLS CITY CARE CENTER,285114,2800 TOWLE STREET,FALLS CITY,Richardson,0,3,2,0,62,0,11,0
WAUNETA CARE AND THERAPY CENTER,285220,"PO BOX 520, 427 LEGION STREET",WAUNETA,Chase,0,0,2,0,32,0,0,0
HILLCREST FIRETHORN,285300,8601 FIRETHORN LANE,LINCOLN,Lancaster,0,0,2,0,54,0,2,0
MOTHER HULL HOME,285254,125 EAST 23RD STREET,KEARNEY,Buffalo,0,0,8,0,42,0,0,0
STANTON HEALTH CENTER,285102,"P O BOX 407, 301 17TH STREET",STANTON,Stanton,0,12,2,0,58,0,7,0
PRESTIGE CARE CENTER OF PLATTSMOUTH,285104,602 SOUTH 18TH STREET,PLATTSMOUTH,Cass,0,0,0,0,81,1,0,0
GOOD SAMARITAN SOCIETY - COLONIAL VILLA,285185,719 NORTH BROWN STREET,ALMA,Harlan,0,0,3,0,37,0,3,0
HILLCREST MILLARD,285302,13225 WESTWOOD LANE,OMAHA,Douglas,17,0,10,7,23,15,5,0
BROOKEFIELD PARK,285226,1405 HERITAGE DRIVE,ST PAUL,Howard,13,1,7,3,49,9,2,0
"CONTINENTAL SPRINGS, LLC",285082,3200 G STREET,SOUTH SIOUX CITY,Dakota,33,21,62,38,38,28,14,0
AZRIA HEALTH BROADWELL,285221,800 STOEGER DRIVE,GRAND ISLAND,Hall,0,14,5,0,52,0,7,0
"PREMIER ESTATES OF PIERCE, LLC",285139,"P O BOX 189, 515 EAST MAIN STREET",PIERCE,Pierce,0,0,6,0,45,2,2,0
ROCK COUNTY HOSPITAL LONG TERM CARE,285304,100 EAST SOUTH STREET,BASSETT,Rock,0,0,3,0,17,0,0,0
GOOD SHEPHERD LUTHERAN HOME,285148,2242 WRIGHT STREET,BLAIR,Washington,0,19,8,0,50,2,21,0
SIDNEY REGIONAL MEDICAL CENTER-EXTENDED CARE,285290,549 KELLER DRIVE,SIDNEY,Cheyenne,1,3,2,0,47,0,3,0
PARK VIEW HAVEN NURSING HOME,285073,309 NORTH MADISON STREET,COLERIDGE,Cedar,0,0,0,0,30,0,0,0
ST JOSEPH'S HILLSIDE VILLA,285303,540 E WASHINGTON STREET,WEST POINT,Cuming,0,0,0,0,42,1,0,1
ARBOR CARE CENTERS-O'NEILL LLC,285108,"PO BOX 756, 1102 NORTH HARRISON",O' NEILL,Holt,0,1,14,0,47,0,1,0
THE AMBASSADOR OMAHA,285127,1540 NORTH 72ND STREET,OMAHA,Douglas,0,8,1,0,84,0,2,0
BLUE VALLEY LUTHERAN NURSING HOME,285259,"P O BOX 166, 220 PARK AVENUE",HEBRON,Thayer,0,9,3,0,55,1,8,0
"QUALITY LIVING, INC",28A060,6404 NORTH 70TH PLAZA,OMAHA,Douglas,3,3,3,0,109,4,31,0
"CALLAWAY GOOD LIFE CENTER, INC",285200,"PO BOX 250, 600 WEST KIMBALL STREET",CALLAWAY,Custer,12,37,3,3,24,4,45,0
ARBOR CARE CENTERS-NELIGH LLC,285124,"PO BOX 66, 1100 NORTH T STREET",NELIGH,Antelope,0,1,12,0,38,0,13,0
LINDEN COURT,285083,4000 WEST PHILIP AVENUE,NORTH PLATTE,Lincoln,0,0,6,0,88,0,28,0
GOOD SAMARITAN SOCIETY - HASTINGS VILLAGE,285072,926 EAST E STREET,HASTINGS,Adams,13,10,24,5,66,13,32,0
NYE LEGACY HEALTH & REHABILITATION CENTER,285278,3210 N CLARKSON,FREMONT,Dodge,4,1,10,3,85,9,6,0
CREST VIEW CARE CENTER,285150,420 GORDON AVENUE,CHADRON,Dawes,0,2,6,0,29,0,2,0
OLD CHENEY REHABILITATION,285299,5431 SOUTH 16TH STREET,LINCOLN,Lancaster,0,0,1,0,28,0,1,0
GORDON COUNTRYSIDE CARE,28E257,500 EAST 10TH STREET,GORDON,Sheridan,0,1,2,0,23,0,0,0
KEYSTONE RIDGE POST ACUTE NURSING AND REHAB,285238,7501 KEYSTONE DRIVE,OMAHA,Douglas,0,5,2,0,64,0,20,0
VALLEY VIEW SENIOR VILLAGE,285294,220 SOUTH 26TH STREET,ORD,Valley,0,0,0,0,26,2,0,0
SUNRISE COUNTRY MANOR,285232,"PO BOX A, 610 224TH STREET",MILFORD,Seward,0,0,4,0,63,0,32,0
ARBOR CARE CENTERS-FULLERTON LLC,285115,"PO BOX 648, 202 NORTH ESTHER",FULLERTON,Nance,0,0,4,0,60,0,1,0
EASTMONT TOWERS,285036,6315 O STREET,LINCOLN,Lancaster,0,2,3,0,6,1,31,0
GOOD SAMARITAN SOCIETY - MILLARD,285098,12856 DEAUVILLE DRIVE,OMAHA,Douglas,28,0,19,11,75,12,2,0
GREELEY CARE HOME,285286,201 E O'CONNOR AVENUE,GREELEY,Greeley,0,0,3,0,19,0,5,0
ST JANE DE CHANTAL,285004,2200 SOUTH 52ND STREET,LINCOLN,Lancaster,6,9,8,2,115,10,48,0
