Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
FRANCISCAN HEALTH CARE CENTER,185132,3625 FERN VALLEY ROAD,LOUISVILLE,Jefferson,0,0,9,0,63,8,0,0
CHRISTIAN HEALTH CENTER,185029,920 SOUTH FOURTH STREET,LOUISVILLE,Jefferson,29,1,5,3,92,14,0,0
SIGNATURE HEALTHCARE OF ELIZABETHTOWN,185118,1117 WOODLAND DRIVE,ELIZABETHTOWN,Hardin,1,0,0,0,81,10,2,0
KENWOOD HEALTH AND REHABILITATION CENTER,185061,130 MEADOWLARK DRIVE,RICHMOND,Madison,1,0,20,0,78,9,2,0
THE PAVILION AT KENTON,185038,401 EAST 20TH STREET,COVINGTON,Kenton,1,0,1,0,75,4,0,0
HIGHLANDS NURSING AND REHABILITATION,185039,1705 STEVENS AVENUE,LOUISVILLE,Jefferson,94,22,23,11,119,39,4,0
LAUREL HEIGHTS HOME FOR THE ELDERLY,185003,208 WEST TWELFTH STREET,LONDON,Laurel,8,0,11,0,131,14,1,0
"FULTON NURSING AND REHABILITATION, LLC",185047,1004 HOLIDAY LANE,FULTON,Fulton,26,8,11,4,35,29,9,0
THE GRANDVIEW NURSING AND REHABILITATION FACILITY,185042,640 WATER TOWER BYPASS,CAMPBELLSVILLE,Taylor,8,2,4,1,73,9,8,0
SPRING CREEK HEALTH CARE,185005,1401 SOUTH 16TH STREET,MURRAY,Calloway,49,6,22,3,94,53,16,0
SUNRISE MANOR NURSING HOME,185057,717 NORTH LINCOLN BOULEVARD,HODGENVILLE,Larue,9,3,11,1,105,24,27,0
"HILLCREEK REHAB AND CARE, LLC",185095,3116 BRECKINRIDGE LANE,LOUISVILLE,Jefferson,33,1,12,6,124,18,0,0
COLONIAL CENTER,185048,2365 NASHVILLE ROAD,BOWLING GREEN,Warren,4,2,13,2,39,3,9,0
HILLSIDE CENTER,185012,1500 PRIDE AVENUE,MADISONVILLE,Hopkins,1,6,8,0,57,7,0,0
LANDMARK OF LANCASTER REHABILITATION AND NURSING C,185065,308 WEST MAPLE AVENUE,LANCASTER,Garrard,54,8,18,8,77,24,7,0
"BRIGHTON CORNERSTONE GROUP, LLC",185013,55 EAST NORTH STREET,MADISONVILLE,Hopkins,9,0,4,0,46,14,0,0
LANDMARK OF LOUISVILLE REHABILITATION AND NURSING,185122,1155 EASTERN PARKWAY,LOUISVILLE,Jefferson,114,52,35,16,200,58,1,0
MORGANTOWN CARE & REHABILITATION CENTER,185006,201 SOUTH WARREN STREET,MORGANTOWN,Butler,72,3,37,15,102,46,0,0
SIGNATURE HEALTHCARE AT SUMMIT MANOR REHAB & WELLN,185052,400 BOMAR HEIGHTS,COLUMBIA,Adair,71,34,26,16,67,31,28,2
TRADEWATER POINTE,185133,100 WEST RAMSEY,DAWSON SPRINGS,Hopkins,40,3,9,0,45,20,1,0
BRADFORD HEIGHTS NURSING & REHABILITATION,185076,950 HIGHPOINT DRIVE,HOPKINSVILLE,Christian,50,0,0,0,74,35,0,0
AUBURN HEALTH CARE,185049,139 PEARL ST.,AUBURN,Logan,49,0,7,6,43,26,0,0
PIKEVILLE NURSING AND REHAB CENTER,185094,260 SOUTH MAYO TRAIL,PIKEVILLE,Pike,80,20,37,10,69,48,24,0
NIM HENSON GERIATRIC CENTER,185112,420 JETT DRIVE,JACKSON,Breathitt,4,0,186,1,51,8,0,0
LANDMARK OF IROQUOIS PARK REHAB AND NURSING CENTER,185096,900 GAGEL AVENUE,LOUISVILLE,Jefferson,72,2,18,3,72,14,7,0
MAYFAIR MANOR,185069,3300 TATES CREEK ROAD,LEXINGTON,Fayette,2,0,0,0,81,18,0,0
"MADISONVILLE HEALTH AND REHABILITATION, LLC",185015,419 NORTH SEMINARY ST,MADISONVILLE,Hopkins,1,6,17,0,83,15,24,1
OWENSBORO HEALTH MUHLENBERG COMMUNITY HOSPITAL LTC,185008,440 HOPKINSVILLE STREET,GREENVILLE,Muhlenberg,7,1,8,2,35,9,7,0
SIGNATURE HEALTHCARE OF BOWLING GREEN,185089,550 HIGH ST.,BOWLING GREEN,Warren,60,4,21,12,107,58,3,0
BRIDGE POINT CENTER,185090,7300 WOODSPOINT DRIVE,FLORENCE,Boone,82,28,16,5,113,41,13,0
THE JORDAN CENTER,185131,270 E CLAYTON LANE,LOUISA,Lawrence,0,10,12,0,66,4,12,0
JOHNSON MATHERS NURSING HOME,185028,2323 CONCRETE ROAD,CARLISLE,Nicholas,1,0,11,0,98,3,0,0
REDBANKS,185124,851 KIMSEY LANE,HENDERSON,Henderson,56,12,76,68,123,68,10,0
SALEM SPRINGLAKE HEALTH & REHABILITATION CENTER,185046,509 NORTH HAYDEN AVENUE,SALEM,Livingston,0,0,1,0,54,1,2,0
SIGNATURE HEALTHCARE AT HILLCREST,185120,3740 OLD HARTFORD ROAD,OWENSBORO,Daviess,27,0,6,5,110,18,0,0
TWIN RIVERS NURSING AND REHABILITATION CENTER,185087,2420 WEST THIRD STREET,OWENSBORO,Daviess,3,7,12,0,93,10,42,0
THE TERRACE NURSING AND REHABILITATION CENTER,185103,1043 BROOKLYN BOULEVARD,BEREA,Madison,4,1,9,0,97,18,11,0
DANVILLE CENTRE FOR HEALTH & REHABILITATION,185127,642 NORTH THIRD STREET,DANVILLE,Boyle,21,0,16,3,73,14,0,0
HILLCREST HEALTH AND REHABILITATION CENTER,185125,1245 AMERICAN GREETING ROAD,CORBIN,Whitley,125,9,26,14,89,95,28,0
"NHC HEALTHCARE, GLASGOW",185093,109  HOMEWOOD BLVD.,GLASGOW,Barren,76,28,47,7,141,44,22,0
ELIZABETHTOWN NURSING AND REHABILITATION CENTER,185266,1101 WOODLAND DRIVE,ELIZABETHTOWN,Hardin,9,1,8,1,58,18,5,0
SIGNATURE HEALTHCARE AT JEFFERSON PLACE REHAB & WE,185349,1705 HERR LANE,LOUISVILLE,Jefferson,24,1,23,7,52,13,15,0
ST ELIZABETH FLORENCE SNF,185394,4900 HOUSTON ROAD,FLORENCE,Boone,2,40,2,2,14,2,0,0
PARK TERRACE HEALTH CAMPUS,185462,9700 STONESTREET ROAD,LOUISVILLE,Jefferson,18,1,23,2,56,9,0,0
REGENCY CENTER,185290,1550 RAYDALE DRIVE,LOUISVILLE,Jefferson,1,2,14,0,90,5,0,0
ELLIOTT NURSING AND REHABILITATION,185415,"RT 32  EAST, HOWARD CREEK RD",SANDY HOOK,Elliott,0,0,12,0,62,6,1,0
"FRIENDSHIP HEALTH AND REHAB, LLC",185281,7400 FRIENDSHIP DRIVE,PEWEE VALLEY,Oldham,56,13,13,4,105,12,6,0
"OWSLEY COUNTY HEALTH CARE CENTER, INC",185273,20 COUNTY BARN ROAD,BOONEVILLE,Owsley,9,55,15,0,74,3,25,0
THE HERITAGE,185434,192 BACON CREEK ROAD,CORBIN,Whitley,2,0,14,0,69,17,1,0
CREEKWOOD NURSING & REHABILITATION,185313,107 BOYLES DRIVE,RUSSELLVILLE,Logan,,,,,,,,
SHADY LAWN NURSING AND REHABILITATION CENTER,185252,2582 CERULEAN ROAD,CADIZ,Trigg,1,0,9,0,41,2,4,0
SIGNATURE HEALTHCARE OF GEORGETOWN,185141,102 POCAHONTAS TRAIL,GEORGETOWN,Scott,0,8,3,0,59,5,23,0
HERMITAGE CARE AND REHABILITATION CENTER,185346,1614 WEST PARRISH AVENUE,OWENSBORO,Daviess,0,0,4,0,78,12,14,0
THOMSON-HOOD VETERANS CENTER,185473,100 VETERANS DRIVE,WILMORE,Jessamine,89,1,26,24,103,67,6,0
RADCLIFF VETERANS CENTER,185483,100 VETERANS DRIVE,RADCLIFF,Hardin,0,3,6,0,58,17,9,0
CAL TURNER REHAB AND SPECIALTY CARE,185325,456 BURNLEY ROAD,SCOTTSVILLE,Allen,21,3,22,3,92,23,12,0
SOUTH SHORE NURSING & REHABILITATION,185282,JAMES E. HANNAH DRIVE,SOUTH SHORE,Greenup,3,0,7,0,51,3,1,0
MARTIN COUNTY HEALTH CARE FACILITY,185379,62 MAUDE ROAD,INEZ,Martin,4,0,3,0,58,11,1,0
MASONIC HOME OF SHELBYVILLE,185378,711 FRANKFORT ROAD,SHELBYVILLE,Shelby,73,12,17,10,72,60,8,0
HEARTLAND VILLA CENTER,185399,8005 US HWY 60 WEST,LEWISPORT,Hancock,31,3,12,5,28,21,3,0
