Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
CHELSEA RETIREMENT COMMUNITY,235021,805 W MIDDLE ST,CHELSEA,Washtenaw,16,16,8,7,65,5,30,0
THE VILLA AT GREAT LAKES CROSSING,235402,22811 W SEVEN MILE RD,DETROIT,Wayne,10,11,10,8,83,14,17,1
BELLE FOUNTAIN NURSING & REHABILITATION CENTER,235376,18591 QUARRY RD,RIVERVIEW,Wayne,23,4,16,4,63,50,15,0
GLADWIN NURSING AND REHABILITATION COMMUNITY,235335,3270 PRATT LAKE RD,GLADWIN,Gladwin,1,3,2,0,41,4,0,0
FRIENDSHIP VILLAGE,235248,1400 N DRAKE RD,KALAMAZOO,Kalamazoo,0,7,9,0,45,5,7,0
LAKEVIEW MANOR HEALTHCARE CENTER,235515,408 N FIFTH AVE,TAWAS CITY,Iosco,27,14,9,3,58,24,6,0
AUTUMNWOOD OF MCBAIN,235438,220 HUGHSTON ST,MC BAIN,Missaukee,0,1,12,0,68,1,1,0
FAIRVIEW NURSING AND REHABILITATION COMMUNITY,235013,441 E MAIN ST,CENTREVILLE,St. Joseph,6,0,5,0,46,1,3,0
MEDILODGE OF ROGERS CITY,235553,555 N BRADLEY HWY,ROGERS CITY,Presque Isle,0,0,11,0,57,4,2,0
ADVANTAGE LIVING CENTER - NORTHWEST,235539,16181 HUBBELL ST,DETROIT,Wayne,23,4,6,3,103,1,0,0
MEDILODGE OF PLYMOUTH,235507,395 W ANN ARBOR TRAIL,PLYMOUTH,Wayne,0,0,10,0,32,1,0,0
ISABELLA CO MEDICAL CARE FACIL,235037,1222 NORTH DR,MOUNT PLEASANT,Isabella,2,0,23,4,77,7,0,0
THE VILLA AT CITY CENTER,235325,11700 E TEN MILE RD,WARREN,Macomb,12,4,17,28,135,12,1,0
HILLSDALE CO MEDICAL CARE FACI,235197,140 W MECHANIC ST,HILLSDALE,Hillsdale,14,3,11,1,130,24,0,1
HURON CO MED CARE FACILITY,235028,1116 S VAN DYKE RD,BAD AXE,Huron,4,4,1,0,93,5,25,0
MEDILODGE OF ALPENA,235280,301 LONG RAPIDS RD,ALPENA,Alpena,64,0,22,9,108,61,10,0
MAPLES BENZIE CO MEDICAL CARE,235005,210 MAPLE ST,FRANKFORT,Benzie,0,0,27,0,73,3,5,0
FAITH HAVEN SENIOR CARE CENTRE,235359,6531 W MICHIGAN AVENUE,JACKSON,Jackson,0,1,5,0,61,1,2,0
BEAUMONT REHABILITATION & CONTINUING CARE DEARBORN,235502,16391 ROTUNDA DR,DEARBORN,Wayne,11,5,39,29,77,44,1,0
CHRISTIAN PARK HEALTH CARE CENTER,235244,2415 5TH AVE SOUTH,ESCANABA,Delta,,,,,,,,
PILGRIM MANOR,235038,2000 LEONARD N E,GRAND RAPIDS,Kent,3,2,1,7,38,2,0,0
OAKVIEW MEDICAL CARE FACILITY,235072,1000 DIANA ST,LUDINGTON,Mason,0,11,18,0,82,3,67,0
THORNAPPLE MANOR,235009,2700 NASHVILLE RD,HASTINGS,Barry,7,15,27,0,142,16,57,0
VISTA GRANDE VILLA,235254,2251 SPRINGPORT RD,JACKSON,Jackson,0,0,10,0,25,8,0,0
THE VILLAGE OF EAST HARBOR,235528,33875 KIELY DR,CHESTERFIELD TOWNSHI,Macomb,60,35,59,20,72,48,105,0
FAIRLANE SENIOR CARE AND REHAB CENTER,235445,15750 JOY,DETROIT,Wayne,3,0,8,1,0,5,1,0
SANCTUARY AT MCAULEY,235301,1380 E SHERMAN BLVD,MUSKEGON,Muskegon,24,3,8,1,70,23,13,0
BORGESS GARDENS,235289,3057 GULL ROAD,KALAMAZOO,Kalamazoo,0,6,8,1,60,11,0,0
MEDILODGE OF GTC,235243,2950 LAFRANIER RD,TRAVERSE CITY,Grand Traverse,10,3,2,1,80,3,13,0
BRITTANY MANOR,235245,3615 E ASHMAN ST,MIDLAND,Midland,3,11,14,0,97,5,33,0
HERITAGE NURSING AND REHABILITATION COMMUNITY,235525,320 E CENTRAL AVE,ZEELAND,Ottawa,2,0,4,0,35,5,0,0
SKLD PLYMOUTH,235351,105 HAGGERTY RD,PLYMOUTH,Wayne,10,0,22,7,84,0,0,0
CALHOUN COUNTY MEDICAL CARE FACILITY,235237,1150 E MICHIGAN AVE,BATTLE CREEK,Calhoun,45,34,24,8,81,59,55,0
