Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
CRIPPLE CREEK CARE CENTER,065333,700 N A ST,CRIPPLE CREEK,Teller,0,0,0,0,44,1,0,0
ENGLEWOOD POST ACUTE AND REHABILITATION,065077,3575 S WASHINGTON ST,ENGLEWOOD,Arapahoe,8,1,5,1,63,10,4,0
FOUR CORNERS HEALTH CARE CENTER,065243,2911 JUNCTION ST,DURANGO,La Plata,0,0,34,0,108,4,0,0
SPANISH PEAKS VETERANS COMMUNITY LIVING CENTER,06A190,23500 US HWY 160,WALSENBURG,Huerfano,0,13,14,0,77,4,6,0
"CENTER AT LINCOLN, LLC, THE",065403,12230 LIONESS WAY,PARKER,Douglas,3,0,4,0,85,7,0,0
PIKES PEAK CENTER,065415,2719 N UNION BLVD,COLORADO SPRINGS,El Paso,25,1,57,24,145,48,8,0
AMBERWOOD COURT REHABILITATION AND CARE COMMUNITY,065034,4686 E ASBURY CIR,DENVER,Denver,0,0,2,2,68,1,0,0
FOREST RIDGE,065418,16006 W US HIGHWAY 24,WOODLAND PARK,Teller,0,0,0,0,66,2,13,0
MESA VISTA OF BOULDER,065052,2121 MESA DR,BOULDER,Boulder,9,0,7,4,153,79,1,0
NAMASTE ALZHEIMER CENTER,06A196,2 PENROSE BLVD,COLORADO SPRINGS,El Paso,0,1,1,0,62,1,1,0
SAN LUIS CARE CENTER,065239,240 CRAFT DR,ALAMOSA,Alamosa,20,178,8,4,36,10,39,0
SUNDANCE SKILLED NURSING AND REHABILITATION,065152,2612 W CUCHARRAS ST,COLORADO SPRINGS,El Paso,17,32,0,0,56,10,0,0
TRINIDAD INN NURSING HOME,065396,409 BENEDICTA AVE,TRINIDAD,Las Animas,0,0,21,0,81,0,0,0
CHEYENNE MOUNTAIN CENTER,065147,835 TENDERFOOT HILL RD,COLORADO SPRINGS,El Paso,3,2,33,0,141,8,7,0
VISTA GRANDE INN,065153,680 E HOSPITAL DR,CORTEZ,Montezuma,0,0,22,0,60,6,0,0
ARVADA CARE AND REHABILITATION CENTER,065321,6121 W 60TH AVE,ARVADA,Jefferson,5,2,9,0,43,5,4,0
WHEATRIDGE MANOR CARE CENTER,065308,2920 FENTON ST,WHEAT RIDGE,Jefferson,24,3,7,1,54,14,0,0
BROOMFIELD SKILLED NURSING AND REHABILITATION CTR,065379,12975 SHERIDAN BLVD,BROOMFIELD,Broomfield,72,45,49,24,123,40,37,0
CENTURA HEALTH PROGRESSIVE CARE CENTER,065183,1338 PHAY AVE,CANON CITY,Fremont,0,0,12,0,58,0,0,0
LIFE CARE CENTER OF WESTMINSTER,065358,7751 ZENOBIA CT,WESTMINSTER,Adams,16,11,16,2,70,18,39,0
COLUMBINE MANOR CARE CENTER,065220,530 W 16TH ST,SALIDA,Chaffee,37,2,32,15,45,10,1,0
"FAIRACRES MANOR, INC.",065211,1700 18TH AVE,GREELEY,Weld,0,0,12,0,98,0,0,0
CANON LODGE CARE CENTER,065217,905 HARDING AVE,CANON CITY,Fremont,4,6,11,0,34,2,13,0
BEAR CREEK SENIOR LIVING,065373,1685 S 21ST ST,COLORADO SPRINGS,El Paso,3,16,9,1,17,7,21,0
SANDROCK RIDGE CARE AND REHAB,065384,943 W 8TH DR,CRAIG,Moffat,0,0,6,0,46,5,0,0
COLOROW HEALTH CARE LLC,065354,885 S HIGHWAY 50 BUSINESS LOOP,OLATHE,Montrose,2,2,18,0,59,8,13,0
LINCOLN COMMUNITY HOSPITAL NURSING HOME,065187,111 - 6TH STREET,HUGO,Lincoln,0,0,0,0,15,0,0,0
LIFE CARE CENTER OF STONEGATE,065401,15720 GARDEN PLAZA DR,PARKER,Douglas,1,64,11,0,42,5,9,0
PIONEER HEALTH CARE CENTER,065235,900 S 12TH ST,ROCKY FORD,Otero,13,7,12,3,77,4,3,0
SUITES AT CLERMONT PARK CARE CENTER,065344,2480 S CLERMONT ST,DENVER,Denver,1,2,16,3,58,3,1,0
BROOKSHIRE HOUSE REHABILITATION AND CARE COMMUNITY,065242,4660 E ASBURY CIR,DENVER,Denver,0,0,3,3,61,5,4,0
HILLCREST CARE CENTER,065316,360 CANYON RIDGE DR,WRAY,Yuma,0,0,5,0,32,9,0,0
EBEN EZER LUTHERAN CARE CENTER,065163,122 HOSPITAL RD,BRUSH,Morgan,28,1,20,7,71,20,9,0
GOOD SAMARITAN SOCIETY - BONELL COMMUNITY,065095,706 23RD ST,GREELEY,Weld,23,41,38,8,74,15,20,0
CAMBRIDGE CARE CENTER,065296,1685 EATON ST,LAKEWOOD,Jefferson,1,1,0,1,77,1,0,0
BROOKSIDE INN,065361,1297 S PERRY ST,CASTLE ROCK,Douglas,51,12,15,8,95,42,11,0
VILLA MANOR CARE CENTER,065092,7950 W MISSISSIPPI AVE,LAKEWOOD,Jefferson,56,37,36,20,79,54,49,0
BRIARWOOD HEALTH CARE CENTER,065255,1440 VINE ST,DENVER,Denver,13,9,27,5,73,23,16,0
CASTLE ROCK CARE CENTER,065285,4001 HOME ST,CASTLE ROCK,Douglas,3,8,6,3,50,5,2,0
WALBRIDGE MEMORIAL CONVALESCENT WING,065264,100 PIONEERS MEDICAL CENTER DR,MEEKER,Rio Blanco,0,1,6,0,25,6,1,0
BERTHOUD LIVING CENTER,065265,855 FRANKLIN AVE,BERTHOUD,Larimer,0,1,15,0,58,0,0,0
