Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
PRESTIGE CARE & REHAB CENTER OF ANCHORAGE,025025,9100 CENTENNIAL DRIVE,ANCHORAGE,Anchorage,0,0,0,0,93,3,7,0
QUYANNA CARE CENTER,025026,1100 GREG KRUSCHEK AVENUE (P.O. BOX 966),NOME,Nome,0,0,2,0,16,1,0,0
CORDOVA COMMUNITY MED LTC,025028,P.O. BOX 160,CORDOVA,Cordova-Mccarthy,0,1,1,0,10,0,0,0
PROVIDENCE SEWARD MED & CARE CENTER LTC,025024,2203 OAK STREET (P.O. BOX 430),SEWARD,Seward,0,5,3,0,30,1,22,0
PROVIDENCE KODIAK ISLAND MED LTC,025030,1915 E REZANOF DRIVE,KODIAK,Kodiak Island Borough,0,3,1,0,21,0,1,0
SOUTH PENINSULA HOSPITAL LTC,025031,4300 BARTLETT STREET,HOMER,Kenai-Cook Inlet,0,0,2,0,20,3,27,0
WILDFLOWER COURT,025027,2000 SALMON CREEK LANE,JUNEAU,Juneau,0,12,7,0,57,1,11,0
PROVIDENCE TRANSITIONAL CARE CENTER,025018,910 COMPASSION CIRCLE,ANCHORAGE,Anchorage,19,0,3,2,19,23,3,0
PROVIDENCE EXTENDED CARE,025036,920 COMPASSION CIRCLE,ANCHORAGE,Anchorage,0,1,5,0,95,3,13,0
DENALI CENTER,025020,1510 19TH AVENUE,FAIRBANKS,Fairbanks,0,14,0,0,71,3,18,0
WRANGELL MEDICAL CENTER LTC,025015,P.O. BOX 1081,WRANGELL,Wrangell-Petersburg,0,0,1,0,13,1,0,0
HERITAGE PLACE,025021,232 ROCKWELL AVENUE,SOLDOTNA,Kenai-Cook Inlet,0,0,0,0,48,1,5,0
KETCHIKAN MED CTR NEW HORIZONS TRANSITIONAL CARE,025010,3100 TONGASS AVENUE,KETCHIKAN,Ketchikan,0,6,3,0,23,0,0,0
PETERSBURG MEDICAL CENTER LTC,025019,P.O. BOX 589,PETERSBURG,Wrangell-Petersburg,0,0,3,0,9,0,4,0
SEARHC SITKA LONG TERM CARE,025032,209 MOLLER AVENUE,SITKA,Sitka,1,0,4,0,15,1,0,0
PROVIDENCE VALDEZ MEDICAL CENTER,025034,911 MEALS AVENUE,VALDEZ,Valdez-Chitina-Whittier,0,2,0,0,8,0,0,0
MAPLE SPRINGS OF WASILLA,025038,3265 E MERIDIAN LOOP,WASILLA,Matanuska-Susitna,0,0,1,0,64,0,1,0
YUKON KUSKOKWIM ELDER'S HOME,025037,"1100 CHIEF EDDIE HOFFMAN HWY, PO BOX 528",BETHEL,Bethel,0,1,1,0,15,0,0,0
UTUQQANAAT INAAT,025035,436 MISSION STREET,KOTZEBUE,Not Available,0,0,1,0,17,0,0,0
MAPLE SPRINGS OF PALMER,025039,12130 EAST MAPLE SPRINGS WAY,PALMER,Matanuska-Susitna,0,0,1,0,27,0,0,0
