Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
OAKDALE REHABILITATION & SKILLED NURSING CENTER,225334,76 NORTH MAIN STREET,WEST BOYLSTON,Worcester,1,0,0,0,84,1,0,0
LEDGEWOOD REHABILITATION & SKILLED NURSING CENTER,225309,87 HERRICK STREET,BEVERLY,Essex,33,7,14,7,96,21,3,0
WORCESTER REHABILITATION & HEALTH CARE CENTER,225199,119 PROVIDENCE STREET,WORCESTER,Worcester,27,28,4,2,83,17,0,0
MEMORY SUPPORT OF HERITAGE HALL,225286,464 MAIN STREET P O BOX 348,AGAWAM,Hampden,68,1,26,15,62,22,0,0
NEVINS NURSING & REHABILITATION CENTER,225409,TEN INGALLS COURT,METHUEN,Essex,52,3,55,11,106,55,31,0
COUNTRY CENTER FOR HEALTH & REHABILITATION,225332,180 LOW STREET,NEWBURYPORT,Essex,0,8,0,0,94,1,12,0
BEAR MOUNTAIN AT WEST SPRINGFIELD,225262,42 PROSPECT AVENUE,WEST SPRINGFIELD,Hampden,16,2,7,6,90,3,0,0
LUTHERAN REHABILITATION & SKILLED CARE CENTER,225379,26 HARVARD STREET,WORCESTER,Worcester,61,76,28,20,77,32,19,0
FOREMOST AT SHARON LLC,225134,259 NORWOOD STREET,SHARON,Norfolk,27,6,11,9,42,13,0,0
WINGATE AT HAVERHILL,225404,190 NORTH AVENUE,HAVERHILL,Essex,25,10,28,9,68,2,0,0
RIVER TERRACE REHABILITATION AND HEALTHCARE CTR,225210,1675 NORTH MAIN STREET,LANCASTER,Worcester,61,57,26,23,69,22,27,0
LINDA MANOR EXTENDED CARE FACILITY,225363,349 HAYDENVILLE ROAD,LEEDS,Hampshire,0,0,0,0,120,0,0,0
LIGHTHOUSE NURSING CARE CENTER,225297,204 PROCTOR AVENUE,REVERE,Suffolk,87,0,31,24,81,52,0,0
BRANDON WOODS OF DARTMOUTH,225233,567 DARTMOUTH STREET,SOUTH DARTMOUTH,Bristol,26,3,23,22,71,13,2,0
HELLENIC NURSING & REHABILITATION CENTER,225418,601 SHERMAN STREET,CANTON,Norfolk,5,4,6,3,87,38,2,0
