Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
MISSION CONVALESCENT HOME,445447,118 GLASS ST,JACKSON,Madison,25,6,20,5,38,16,6,0
LIFE CARE CENTER OF ATHENS,445298,"1234 FRYE STREET, PO BOX 786",ATHENS,McMinn,79,22,23,14,80,56,8,0
WOODCREST AT BLAKEFORD,445378,11 BURTON HILLS BLVD,NASHVILLE,Davidson,7,0,0,0,55,26,0,0
CLAIBORNE AND HUGHES HLTH CNTR,445157,200 STRAHL STREET,FRANKLIN,Williamson,0,1,14,0,115,7,0,0
DOUGLAS HEALTH AND REHABILITATION,445434,2084 W MAIN STREET,MILAN,Gibson,0,2,0,0,68,7,4,0
SEVIERVILLE HEALTH AND REHABILITATION CENTER,445132,415 CATLETT RD,SEVIERVILLE,Sevier,10,0,12,0,66,11,8,0
"NHC HEALTHCARE, FT SANDERS",445107,2120 HIGHLAND AVE,KNOXVILLE,Knox,13,2,8,1,144,20,0,0
MILLINGTON HEALTHCARE CENTER,445425,5081 EASLEY AVENUE,MILLINGTON,Shelby,6,1,19,0,71,8,4,0
MABRY HEALTH CARE,445272,1340 N GRUNDY QUARLES HWY P O BOX 7,GAINESBORO,Jackson,0,6,19,0,43,6,13,0
ETOWAH HEALTH CARE CENTER,445422,"409 GRADY ROAD, PO BOX 957",ETOWAH,McMinn,1,4,7,0,69,5,4,0
DONALSON CARE CENTER,445173,1681 WINCHESTER HIGHWAY,FAYETTEVILLE,Lincoln,2,2,14,0,110,7,24,0
SIGNATURE HEALTHCARE OF MONTEAGLE REHAB & WELLNESS,445393,26 SECOND STREET,MONTEAGLE,Grundy,0,0,8,0,85,0,0,0
SODDY-DAISY HEALTH CARE CENTER,445408,701 SEQUOYAH ROAD,SODDY-DAISY,Hamilton,0,0,9,0,94,1,0,0
SIGNATURE HEALTHCARE OF CLEVELAND,445369,2750 EXECUTIVE PARK PLACE,CLEVELAND,Bradley,2,0,6,0,80,3,0,0
SIGNATURE HEALTH OF PORTLAND REHAB & WELLNESS CENT,445306,215 HIGHLAND CIRCLE DRIVE,PORTLAND,Sumner,1,0,1,0,68,4,0,0
GLEN OAKS HEALTH AND REHABILITATION,445234,1101 GLEN OAKS ROAD,SHELBYVILLE,Bedford,0,1,4,0,76,4,0,0
AHC SAVANNAH,445444,1645 FLORENCE RD,SAVANNAH,Hardin,7,15,30,4,95,13,21,0
