Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
CHESHIRE COUNTY HOME,305054,201 RIVER ROAD,WESTMORELAND,Cheshire,0,2,15,0,111,4,1,0
WOODLAWN CARE CENTER,305097,84 PINE STREET,NEWPORT,Sullivan,0,2,15,3,41,22,3,0
"MOUNTAIN RIDGE CENTER, GENESIS HEALTHCARE",305075,7 BALDWIN STREET,FRANKLIN,Merrimack,50,20,30,11,78,26,5,0
RIVERWOODS AT EXETER,305049,7 RIVERWOODS DRIVE,EXETER,Rockingham,3,39,46,0,49,7,226,0
OCEANSIDE SKILLED NURSING AND REHABILITATION,305055,22 TUCK ROAD,HAMPTON,Rockingham,1,5,36,0,92,3,0,0
"LAFAYETTE CENTER, GENESIS HEALTHCARE",305077,93 MAIN STREET,FRANCONIA,Grafton,0,3,18,0,57,0,1,0
ROCHESTER MANOR,305024,40 WHITEHALL ROAD,ROCHESTER,Strafford,0,19,20,0,82,1,7,0
MAPLE LEAF HEALTH CARE CENTER,305030,198 PEARL STREET,MANCHESTER,Hillsboro,3,22,25,0,95,6,26,0
COURVILLE AT MANCHESTER,305057,44 WEST WEBSTER STREET,MANCHESTER,Hillsboro,9,13,9,2,56,21,10,0
VILLA CREST,305079,1276 HANOVER STREET,MANCHESTER,Hillsboro,47,14,43,18,128,42,40,1
LACONIA REHABILITATION CENTER,305040,175 BLUEBERRY LANE,LACONIA,Belknap,1,13,31,0,114,9,6,0
ELM WOOD CENTER AT CLAREMONT,305041,290 HANOVER STREET,CLAREMONT,Sullivan,1,2,20,0,62,6,3,0
DERRY CENTER FOR REHABILITATION AND HEALTHCARE,305095,20 CHESTER ROAD,DERRY,Rockingham,15,0,11,11,39,6,0,0
LANGDON PLACE OF KEENE,305085,136 A ARCH STREET,KEENE,Cheshire,0,2,21,0,23,1,4,0
APPLEWOOD CENTER,305065,8 SNOW ROAD,WINCHESTER,Cheshire,1,9,17,0,71,0,1,0
BEDFORD HILLS CENTER,305060,30 COLBY COURT,BEDFORD,Hillsboro,98,40,60,25,92,49,18,0
PHEASANT WOOD CENTER,305059,50 PHEASANT ROAD,PETERBOROUGH,Hillsboro,0,1,28,0,94,1,5,0
RIVERSIDE REST HOME,305047,276 COUNTY FARM ROAD,DOVER,Strafford,0,5,36,0,170,3,37,0
SAINT VINCENT REHABILITATION & NURSING CENTER,305066,29 PROVIDENCE AVENUE,BERLIN,Coos,0,1,0,0,60,2,3,0
PRESIDENTIAL OAKS,305063,200 PLEASANT STREET,CONCORD,Merrimack,0,0,10,0,31,5,0,0
WOLFEBORO BAY CENTER,305083,39 CLIPPER DRIVE,WOLFEBORO,Carroll,0,14,23,0,83,4,11,0
GOLDEN VIEW HEALTH CARE CENTER,305044,19 NH ROUTE 104,MEREDITH,Belknap,0,0,13,0,68,2,2,0
LANGDON PLACE OF DOVER,305089,60 MIDDLE ROAD,DOVER,Strafford,0,2,16,0,23,0,1,0
