Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
"PEARL OF NAPERVILLE, THE",145045,200 MARTIN AVENUE,NAPERVILLE,DuPage,10,7,1,1,79,11,4,0
APOSTOLIC CHRISTIAN RESTMOR,145436,1500 PARKSIDE AVENUE,MORTON,Tazewell,2,0,10,0,88,9,3,0
MARIGOLD REHABILITATION HCC,145446,275 EAST CARL SANDBURG DRIVE,GALESBURG,Knox,0,0,28,0,123,1,4,0
HERITAGE HEALTH-BLOOMINGTON,145016,700 EAST WALNUT,BLOOMINGTON,McLean,0,3,16,0,63,2,14,0
SULLIVAN REHAB & HLTH CARE CTR,145370,11 HAWTHORNE LANE,SULLIVAN,Moultrie,24,0,20,2,63,11,11,0
"CITADEL OF SKOKIE, THE",145468,9615 NORTH KNOX AVENUE,SKOKIE,Cook,,,,,,,,
ELEVATE CARE NORTHBROOK,145171,270 SKOKIE HIGHWAY,NORTHBROOK,Cook,72,0,26,20,193,57,68,0
CHAMPAIGN URBANA NRSG & REHAB,145439,302 WEST BURWASH,SAVOY,Champaign,12,0,15,2,96,10,1,0
ASCENSION SAINT ANNE PLACE,145563,4405 HIGHCREST ROAD,ROCKFORD,Winnebago,72,4,83,14,82,38,6,0
BREESE NURSING HOME,145410,1155 NORTH FIRST STREET,BREESE,Clinton,28,1,3,2,32,3,12,0
HERITAGE HEALTH-CHILLICOTHE,145058,1028 HILLCREST DRIVE,CHILLICOTHE,Peoria,35,0,12,2,69,34,0,0
MICHAELSEN HEALTH CENTER,145409,831 NORTH BATAVIA AVENUE,BATAVIA,Kane,1,16,23,0,74,6,26,0
HILLSBORO REHAB & HCC,145500,1300 EAST TREMONT STREET,HILLSBORO,Montgomery,0,0,11,0,86,9,5,0
GENERATIONS AT PEORIA,145039,5600 GLEN ELM DRIVE,PEORIA,Peoria,27,0,31,10,116,27,12,0
AUBURN REHAB & HCC,145136,304 MAPLE AVENUE,AUBURN,Sangamon,39,0,7,3,39,13,2,0
PINE CREST HEALTH CARE,145220,3300 WEST 175TH STREET,HAZEL CREST,Cook,7,4,14,2,171,7,4,0
APERION CARE TOLUCA,145413,101 EAST VIA GHIGLIERI,TOLUCA,Marshall,1,0,0,0,74,4,0,0
SYMPHONY OF JOLIET,145372,306 NORTH LARKIN AVENUE,JOLIET,Will,77,0,33,26,90,54,4,2
WESTMINSTER PLACE,145026,3200 GRANT STREET,EVANSTON,Cook,1,32,12,0,61,14,52,0
SYMPHONY OF LINCOLN PARK,145510,1366 WEST FULLERTON AVENUE,CHICAGO,Cook,120,20,40,27,191,61,6,0
DOBSON PLAZA,145122,120 DODGE AVENUE,EVANSTON,Cook,51,46,26,18,59,9,4,0
HERITAGE HEALTH-EL PASO,145319,555 EAST CLAY,EL PASO,Woodford,42,9,22,6,44,18,23,0
SYMPHONY OF ORCHARD VALLEY,145473,2330 WEST GALENA BOULEVARD,AURORA,Kane,89,7,42,25,112,39,6,0
LEXINGTON HLTH CR CTR-LOMBARD,145511,2100 SOUTH FINLEY ROAD,LOMBARD,DuPage,12,0,21,8,118,9,0,0
ALDEN LAKELAND REHAB & HCC,145450,820 WEST LAWRENCE,CHICAGO,Cook,25,9,2,0,130,14,7,0
OREGON LIVING AND REHABILITATION CENTER,145476,811 SOUTH 10TH STREET,OREGON,Ogle,7,4,9,0,65,0,57,0
BEECHER MANOR NRSG & REHAB CTR,145538,1201 DIXIE HIGHWAY,BEECHER,Will,53,42,55,16,68,29,42,0
HOPE CREEK NURSING & REHAB,145269,4343 KENNEDY DRIVE,EAST MOLINE,Rock Island,8,7,18,0,,5,3,0
HERITAGE HEALTH-LITCHFIELD,145271,628 SOUTH ILLINOIS STREET,LITCHFIELD,Montgomery,2,5,13,0,55,4,3,0
