Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
LIFE CARE CENTER OF FEDERAL WAY,505188,1045 SOUTH 308TH STREET,FEDERAL WAY,King,56,45,13,4,93,28,15,0
ALDERWOOD PARK HEALTH AND REHABILITATION,505092,2726 ALDERWOOD AVENUE,BELLINGHAM,Whatcom,0,4,1,0,68,5,23,0
PRESTIGE POST-ACUTE AND REHAB CENTER - CENTRALIA,505373,917 SOUTH SCHEUBER ROAD,CENTRALIA,Lewis,12,13,6,0,84,5,13,0
PUGET SOUND HEALTHCARE CENTER,505299,4001 CAPITOL MALL DR SOUTHWEST,OLYMPIA,Thurston,0,2,0,0,90,1,2,0
ROO LAN HEALTH & REHAB,505254,1505 CARPENTER ROAD SE,LACEY,Thurston,0,0,14,0,81,1,0,0
PANORAMA CITY CONV & REHAB CTR,505059,1600 SLEATER KINNEY ROAD SE,LACEY,Thurston,0,3,10,0,119,0,0,0
SEQUIM HEALTH & REHABILITATION,505128,650 WEST HEMLOCK ST,SEQUIM,Clallam,0,0,9,0,89,0,1,0
ST FRANCIS OF BELLINGHAM,505296,3121 SQUALICUM PARKWAY,BELLINGHAM,Whatcom,0,2,4,0,61,2,3,0
SNOHOMISH HEALTH AND REHABILITATION,505338,800 10TH STREET,SNOHOMISH,Snohomish,1,0,6,0,66,0,1,0
FRANKLIN HILLS HEALTH & REHAB CENTER,505024,6021 NORTH LIDGERWOOD,SPOKANE,Spokane,49,4,9,9,46,20,1,0
LIFE CARE CENTER OF MOUNT VERNON,505272,2120 EAST DIVISION STREET,MOUNT VERNON,Skagit,0,5,0,0,58,0,1,0
WILLAPA HARBOR HEALTH AND REHAB,505349,1100 JACKSON STREET,RAYMOND,Pacific,1,0,0,0,40,0,0,0
WOODLAND CONVALESCENT CENTER,505232,310 FOURTH STREET,WOODLAND,Cowlitz,0,2,20,0,49,2,4,0
PARK WEST CARE CENTER,505270,1703 CALIFORNIA AVENUE SOUTHWEST,SEATTLE,King,1,1,1,0,94,4,5,0
