Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
PRUITTHEALTH-DURHAM,345061,3100 ERWIN ROAD,DURHAM,Durham,19,1,0,0,93,10,0,0
CLAPPS NURSING CENTER INC,345024,5229 APPOMATTOX ROAD,PLEASANT GARDEN,Guilford,75,6,37,22,74,45,1,0
CYPRESS POINTE REHABILITATION CENTER,345002,2006 SOUTH 16TH STREET,WILMINGTON,New Hanover,2,1,8,0,85,2,0,0
"THE CITADEL AT MYERS PARK, LLC",345008,300 PROVIDENCE ROAD,CHARLOTTE,Mecklenburg,12,2,5,1,74,10,2,0
SUMMERSTONE HEALTH AND REHABILITATION CENTER,345039,485 VETERANS WAY,KERNERSVILLE,Forsyth,2,0,11,1,85,13,9,0
BRIAN CENTER HEALTH & REHAB HICKORY VIEWMONT,345080,220 13TH AVENUE PLACE NW,HICKORY,Catawba,44,4,28,9,76,17,0,0
ROYAL PARK REHAB & HEALTH CTR OF MATTHEWS,345026,2700 ROYAL COMMONS LANE,MATTHEWS,Mecklenburg,74,50,20,17,126,25,10,0
ELIZABETH CITY HEALTH AND REHABILITATION,345036,1075 US HIGHWAY 17 SOUTH,ELIZABETH CITY,Pasquotank,57,0,30,15,128,29,0,0
PERSON MEMORIAL HOSPITAL,345004,615 RIDGE ROAD,ROXBORO,Person,15,6,10,5,42,8,0,0
JACOB'S CREEK NURSING AND REHABILITATION CENTER,345050,1721 BALD HILL LOOP,MADISON,Rockingham,119,6,13,2,103,54,0,0
PETTIGREW REHABILITATION CENTER,345053,1515 W PETTIGREW STREET,DURHAM,Durham,1,0,0,0,58,5,0,0
DURHAM NURSING & REHABILITATION CENTER,345070,411 S LASALLE STREET,DURHAM,Durham,3,0,5,3,78,8,0,0
ACCORDIUS HEALTH AT LEXINGTON,345011,279 BRIAN CENTER DRIVE,LEXINGTON,Davidson,0,0,9,0,79,1,2,0
ACCORDIUS HEALTH AT WILSON,345063,1804 FOREST HILLS ROAD W,WILSON,Wilson,8,0,0,0,61,1,1,0
CAROLINA RIVERS NURSING AND REHABILITATION CENTER,345072,1839 ONSLOW DRIVE EXTENSION,JACKSONVILLE,Onslow,1,0,17,0,85,3,1,0
PEAK RESOURCES - CHARLOTTE,345013,3223 CENTRAL AVENUE,CHARLOTTE,Mecklenburg,89,17,48,26,104,55,2,0
ST JOSEPH OF THE PINES HEALTH CENTER,345044,103 GOSSMAN DRIVE,PINEHURST,Moore,1,16,9,0,105,18,13,0
THE OAKS AT WHITAKER GLEN-MAYVIEW,345009,513 EAST WHITAKER MILL ROAD,RALEIGH,Wake,1,0,4,0,102,7,1,0
HILLCREST CONVALESCENT CENTER,345001,1417 W PETTIGREW STREET,DURHAM,Durham,1,0,22,0,136,3,0,0
RALEIGH REHABILITATION CENTER,345049,616 WADE AVENUE,RALEIGH,Wake,5,0,10,0,104,6,0,0
ANSON HEALTH AND REHABILITATION,345051,405 SOUTH GREENE STREET,WADESBORO,Anson,6,8,1,0,81,6,7,0
SILAS CREEK REHABILITATION CENTER,345003,3350 SILAS CREEK PARKWAY,WINSTON-SALEM,Forsyth,13,1,3,1,71,16,0,0
WOODHAVEN NURS & ALZHEIMER'S C,345054,1150 PINE RUN DRIVE,LUMBERTON,Robeson,33,5,12,8,81,26,3,0
BLUMENTHAL NURSING & REHABILITATION CENTER,345006,3724 WIRELESS DRIVE,GREENSBORO,Guilford,1,35,40,0,116,5,2,0
ACCORDIUS HEALTH AT ASHEVILLE,345010,500 BEAVERDAM ROAD,ASHEVILLE,Buncombe,0,3,3,0,56,0,8,0
ALSTON BROOK,345066,4748 OLD SALISBURY ROAD,LEXINGTON,Davidson,44,5,29,17,81,21,22,0
THE FOLEY CENTER AT CHESTNUT RIDGE,345045,621 CHESTNUT RIDGE PARKWAY,BLOWING ROCK,Watauga,3,38,18,2,73,3,30,0
MOUNTAIN RIDGE HEALTH AND REHAB,345048,611 OLD US HIGHWAY 70 EAST,BLACK MOUNTAIN,Buncombe,36,9,13,5,86,15,5,0
AUTUMN CARE OF BISCOE,345000,401 LAMBERT ROAD,BISCOE,Montgomery,42,0,13,8,79,31,6,0
"ACCORDIUS HEALTH AT GREENSBORO, LLC",345014,1201 CAROLINA STREET,GREENSBORO,Guilford,0,0,1,0,69,2,1,0
CLAPP'S CONVALESCENT NURSING HOME INC,345015,500 MOUNTAIN TOP DRIVE,ASHEBORO,Randolph,0,0,3,0,77,8,2,0
SUNNYBROOK REHABILITATION CENTER,345077,25 SUNNYBROOK ROAD,RALEIGH,Wake,4,1,15,3,76,2,4,0
HIGHLAND FARMS,345078,200 TABERNACLE ROAD,BLACK MOUNTAIN,Buncombe,20,6,12,0,46,7,18,0
HIGHLAND HOUSE REHABILITATION AND HEALTHCARE,345353,1700 PAMALEE DRIVE,FAYETTEVILLE,Cumberland,35,4,17,4,68,28,3,0
NOVANT HEALTH PRESBYTERIAN MEDICAL CENTER-SNU,345467,200 HAWTHORNE LANE,CHARLOTTE,Mecklenburg,0,0,0,0,0,0,0,0
PINEY GROVE NURSING AND REHABILITATION CENTER,345354,728 PINEY GROVE ROAD,KERNERSVILLE,Forsyth,39,15,18,0,44,19,14,0
CHOWAN RIVER NURSING AND REHABILITATION CENTER,345164,1341 PARADISE ROAD P O BOX 566,EDENTON,Chowan,1,0,0,0,84,7,0,0
ACCORDIUS HEALTH AT HENDERSONVILLE LLC,345285,200 HERITAGE CIRCLE,HENDERSONVILLE,Henderson,43,0,1,1,73,32,4,0
WESLEY PINES RETIREMENT COMM,345180,1000 WESLEY PINES ROAD,LUMBERTON,Robeson,2,0,0,0,55,3,0,0
ROCKY MOUNT REHABILITATION CENTER,345260,160 S WINSTEAD AVENUE,ROCKY MOUNT,Nash,35,0,7,6,74,29,0,0
CARY HEALTH AND REHABILITATION,345403,6590 TRYON ROAD,CARY,Wake,3,0,5,0,88,18,4,0
EAST CAROLINA REHAB AND WELLNESS,345377,2575 W 5TH STREET,GREENVILLE,Pitt,34,0,37,28,72,17,0,0
"PEAK RESOURCES - BROOKSHIRE, INC",345439,300 MEADOWLANDS DRIVE,HILLSBOROUGH,Orange,5,1,10,1,70,10,0,0
PIEDMONT CROSSING,345310,100 HEDRICK DRIVE,THOMASVILLE,Davidson,1,0,22,0,74,7,21,0
PRUITTHEALTH-ROCKINGHAM,345378,804 SOUTH LONG DRIVE,ROCKINGHAM,Richmond,0,4,5,0,96,9,4,0
LIBERTY COMMONS N&R CTR OF COLUMBUS CTY,345207,1402 PINCKNEY STREET,WHITEVILLE,Columbus,1,0,37,10,89,14,3,0
PEAK RESOURCES - SHELBY,345229,1101 NORTH MORGAN STREET,SHELBY,Cleveland,21,0,0,0,77,19,4,0
PREMIER LIVING AND REHAB CENTER,345185,106 CAMERON STREET,LAKE WACCAMAW,Columbus,23,9,27,5,68,8,11,1
THE GRAYBRIER NURS & RETIREMENT CT,345330,116 LANE DRIVE,TRINITY,Randolph,0,0,13,0,91,2,1,0
THE LAURELS OF CHATHAM,345421,72 CHATHAM BUSINESS PARK,PITTSBORO,Chatham,4,27,32,10,107,7,4,0
IREDELL MEMORIAL HOSPITAL INC,345306,557 BROOKDALE DRIVE,STATESVILLE,Iredell,0,0,11,0,29,1,2,0
WILLOWBROOKE COURT SC CTR AT TRYON ESTATES,345459,619 LAUREL LAKE DRIVE,COLUMBUS,Polk,2,0,11,0,33,4,0,0
ACCORDIUS HEALTH AT WILMINGTON,345236,820 WELLINGTON AVENUE,WILMINGTON,New Hanover,0,0,7,0,70,4,0,0
GATEWAY REHABILITATION AND HEALTHCARE,345329,2030 HARPER AVENUE NW,LENOIR,Caldwell,1,6,0,0,87,11,8,0
GRAHAM HEALTHCARE AND REHABILITATION CENTER,345355,811 SNOWBIRD ROAD,ROBBINSVILLE,Graham,48,13,14,3,48,22,13,0
LUMBERTON HEALTH AND REHAB CENTER,345234,1555 WILLIS AVENUE,LUMBERTON,Robeson,0,0,23,0,111,5,0,0
UNIVERSAL HEALTH CARE/FUQUAY-VARINA,345561,410 S JUDD PARKWAY SE,FUQUAY VARINA,Wake,9,79,6,2,81,10,15,0
CARRINGTON PLACE,345103,600 FULLWOOD LANE,MATTHEWS,Mecklenburg,33,0,9,7,126,17,1,0
BRIAN CENTER HEALTH AND REHAB,345332,2501 DOWNING STREET SW,WILSON,Wilson,46,0,23,11,54,22,0,2
RICH  SQUARE NURSING & REHAB,345356,300 NORTH MAIN STREET,RICH SQUARE,Northampton,78,6,28,18,52,33,3,2
TRANSITIONAL HEALTH SERVICES OF KANNAPOLIS,345258,1810 CONCORD LAKE ROAD,KANNAPOLIS,Cabarrus,61,2,6,4,64,33,2,0
LINCOLNTON REHABILITATION CENTER,345159,1410 EAST GASTON STREET,LINCOLNTON,Lincoln,3,0,19,0,90,11,13,0
THE FOREST AT DUKE INC,345542,2701 PICKETT ROAD,DURHAM,Durham,1,39,23,0,65,12,39,0
TSALI CARE CENTER,345475,55 ECHOTA CHURCH ROAD,CHEROKEE,Swain,0,2,8,0,50,1,0,0
ALLEGHANY CENTER,345261,179 COMBS STREET,SPARTA,Alleghany,0,0,8,0,73,2,0,0
CHARLOTTE HEALTH & REHABILITATION CENTER,345405,1735 TODDVILLE ROAD,CHARLOTTE,Mecklenburg,5,26,5,0,86,8,11,0
VALLEY VIEW CARE & REHAB CENTER,345426,551 KENT STREET,ANDREWS,Cherokee,31,0,11,6,33,26,2,0
PRUITTHEALTH-UNION POINTE,345566,3510 WEST HIGHWAY 74,MONROE,Union,0,2,21,0,78,6,26,0
AYDEN COURT NURSING AND REHABILITATION CENTER,345490,128 SNOW HILL ROAD,AYDEN,Pitt,4,0,6,0,71,9,0,0
NC STATE VETERANS HOME-BLACK MOUNTAIN,345558,62 LAKE EDEN ROAD,BLACK MOUNTAIN,Buncombe,0,20,2,0,89,0,9,0
LIBERTY COMMONS REHABILITATION CENTER,345468,121 RACINE DRIVE,WILMINGTON,New Hanover,14,5,16,0,69,23,8,0
SHARON TOWERS,345564,5100 SHARON ROAD,CHARLOTTE,Mecklenburg,0,0,24,5,10,3,0,0
TWIN LAKES COMMUNITY,345235,3801 WADE COBLE DRIVE,BURLINGTON,Alamance,26,73,10,5,78,17,17,0
UNIVERSAL HEALTH CARE/NORTH RALEIGH,345529,5201 CLARKS FORK DRIVE NW,RALEIGH,Wake,5,38,7,0,118,10,2,0
THE LODGE AT ROCKY MOUNT HEALTH AND REHABILITATION,345137,3322 VILLAGE ROAD,ROCKY MOUNT,Edgecombe,58,1,19,11,95,28,5,0
KERR LAKE NURSING AND REHABILITATION CENTER,345321,1245 PARK AVENUE,HENDERSON,Vance,48,20,18,11,69,24,5,0
PINEHURST HEALTHCARE & REHABILITATION CENTER,345370,300 BLAKE BOULEVARD,PINEHURST,Moore,0,1,5,2,91,6,14,0
HARNETT WOODS NURSING AND REHABILITATION CENTER,345478,604 LUCAS ROAD,DUNN,Harnett,15,0,12,1,88,7,0,0
VILLAGE CARE OF KING,345381,440 INGRAM ROAD,KING,Stokes,0,24,21,0,92,1,14,0
GREENHAVEN HEALTH AND REHABILITATION CENTER,345132,801 GREENHAVEN DRIVE,GREENSBORO,Guilford,0,0,1,0,81,2,3,0
EMERALD RIDGE REHAB AND CARE CENTER,345447,25 REYNOLDS MOUNTAIN BOULEVARD,ASHEVILLE,Buncombe,36,0,8,2,77,23,6,0
COURTLAND TERRACE,345350,2300 ABERDEEN BOULEVARD,GASTONIA,Gaston,0,2,0,0,86,12,1,0
TRINITY RIDGE,345106,2140 MEDICAL PARK DRIVE,HICKORY,Catawba,17,17,25,8,99,24,27,0
MACGREGOR DOWNS HEALTH AND REHABILITATION,345168,2910 MACGREGOR DOWNS ROAD,GREENVILLE,Pitt,9,1,30,1,135,9,0,0
RIVERPOINT CREST NURSING AND REHABILITATION CENTER,345211,2600 OLD CHERRY POINT ROAD,NEW BERN,Craven,37,0,11,7,74,17,0,0
TRINITY PLACE,345109,24724 SOUTH BUSINESS 52,ALBEMARLE,Stanly,36,18,22,12,60,26,13,0
AUTUMN CARE OF SHALLOTTE,345294,237 MULBERRY STREET,SHALLOTTE,Brunswick,71,2,26,12,70,48,1,0
THE LAURELS OF PENDER,345298,311 S CAMPBELL STREET,BURGAW,Pender,1,0,1,0,86,5,0,0
AUTUMN CARE OF WAYNESVILLE,345110,360 OLD BALSAM ROAD,WAYNESVILLE,Haywood,0,1,19,0,83,0,0,0
WESTWOOD HEALTH AND REHABILITATION,345450,625 ASHLAND STREET,ARCHDALE,Randolph,1,0,9,0,44,3,10,0
LEXINGTON HEALTH CARE CENTER,345419,17 CORNELIA DRIVE,LEXINGTON,Davidson,0,1,20,0,84,1,6,0
BRIAN CENTER HLTH & RETIREMENT,345317,204 DAIRY ROAD,CLAYTON,Johnston,0,0,24,0,78,1,0,0
PRUITTHEALTH-TOWN CENTER,345515,6300 ROBERTA ROAD,HARRISBURG,Cabarrus,2,0,14,0,54,2,0,0
UNIVERSAL HEALTH CARE/FLETCHER,345522,86 OLD AIRPORT ROAD,FLETCHER,Henderson,0,114,41,0,70,6,62,0
CARVER LIVING CENTER,345434,303 EAST CARVER STREET,DURHAM,Durham,82,6,27,13,138,41,0,0
PISGAH MANOR HEALTH CARE CENTER,345393,104 HOLCOMBE COVE ROAD,CANDLER,Buncombe,0,6,24,0,103,6,15,0
LIBERTY COMMONS NSG & REHAB  CTR OF ROWAN COUNTY,345503,4412 SOUTH MAIN STREET,SALISBURY,Rowan,37,17,15,9,59,30,7,0
THE CITADEL MOORESVILLE,345283,550 GLENWOOD DRIVE,MOORESVILLE,Iredell,2,3,10,0,116,7,1,0
SURRY COMMUNITY HEALTH AND REHAB CENTER,345191,542 ALLRED MILL ROAD,MOUNT AIRY,Surry,11,0,30,4,88,1,0,0
UNIVERSAL HEALTH CARE & REHAB,345183,430 BROOKWOOD AVENUE NE,CONCORD,Cabarrus,18,0,13,2,94,13,1,0
BLACK MOUNTAIN NEURO-MEDICAL TREATMENT CENTER,34A001,932 OLD US HIGHWAY 70,BLACK MOUNTAIN,Buncombe,50,174,24,6,138,42,329,0
GREENDALE FOREST NURSING AND REHABILITATION CENTER,345366,1304 SE SECOND STREET,SNOW HILL,Greene,48,1,24,2,56,20,4,0
THE IVY AT GASTONIA LLC,345307,4414 WILKINSON BLVD,GASTONIA,Gaston,8,0,10,1,30,0,0,0
PINEVILLE REHABILITATION AND LIVING CTR,345415,1010 LAKEVIEW DRIVE,PINEVILLE,Mecklenburg,14,0,17,0,69,8,0,0
SHORELAND HLTH CARE & RETIREME,345397,200 FLOWER-PRIDGEN DRIVE,WHITEVILLE,Columbus,1,0,0,0,36,0,0,0
WILKESBORO HEALTH AND REHABILITATION,345401,204 OLD BRICKYARD ROAD,NORTH WILKESBORO,Wilkes,27,17,30,1,109,18,12,0
HENDERSONVILLE HEALTH AND REHABILITATION,345493,104 COLLEGE DRIVE,FLAT ROCK,Henderson,,,,,,,,
ACCORDIUS HEALTH AT GASTONIA,345162,416 N HIGHLAND STREET,GASTONIA,Gaston,28,9,8,1,60,43,22,0
LIFE CARE CENTER OF HENDERSONV,345463,400 THOMPSON STREET,HENDERSONVILLE,Henderson,3,0,10,0,59,7,0,0
