Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
GOOD SAMARITAN SOCIETY - DAVENPORT,165169,700 WAVERLY ROAD,DAVENPORT,Scott,5,1,24,1,99,34,72,0
NORWALK NURSING AND REHABILITATION CENTER,165179,921 SUNSET DRIVE,NORWALK,Warren,12,15,0,0,37,18,4,0
SIOUX CENTER HEALTH  ROYALE MEADOWS,165157,1400 7TH AVENUE SE,SIOUX CENTER,Sioux,2,2,14,2,66,12,9,0
GRANGER NURSING & REHABILITATION CENTER,165208,2001 KENNEDY STREET,GRANGER,Dallas,,,,,,,,
AZRIA HEALTH WINTERSET,165188,1015 WEST SUMMIT,WINTERSET,Madison,1,0,7,0,56,1,0,7
TOUCHSTONE HEALTHCARE COMMUNITY,165161,1800 INDIAN HILLS DRIVE,SIOUX CITY,Woodbury,22,2,10,1,62,24,3,1
GRANDVIEW HEALTHCARE CENTER,165340,800 FIFTH STREET SE,OELWEIN,Fayette,25,36,12,4,39,30,51,0
"ACCURA HEALTHCARE OF PLEASANTVILLE, LLC",165324,909 NORTH STATE STREET,PLEASANTVILLE,Marion,0,1,1,0,46,2,0,0
WESTWOOD SPECIALTY CARE,165271,4201 FIELDCREST DRIVE,SIOUX CITY,Woodbury,3,1,2,1,74,6,4,0
KEOSAUQUA HEALTH CARE CENTER,165204,819 COUNTRY LANE ROAD,KEOSAUQUA,Van Buren,46,43,7,3,42,26,72,0
GREAT RIVER CARE CENTER,165301,1400 WEST MAIN,MC GREGOR,Clayton,19,38,1,0,29,17,35,1
SALEM LUTHERAN HOME,165155,2027 COLLEGE AVENUE,ELK HORN,Shelby,28,0,2,2,48,10,0,0
RED OAK REHAB AND CARE CENTER,165185,1600 SUMMIT STREET,RED OAK,Montgomery,0,0,3,0,29,3,4,0
METHODIST MANOR RETIREMENT COM,165359,1206 WEST FOURTH STREET,STORM LAKE,Buena Vista,2,0,17,1,91,54,0,0
HALLMARK CARE CENTER,165333,215 HIGHWAY 30 WEST,MOUNT VERNON,Linn,0,6,4,0,35,10,13,0
ELM CREST RETIREMENT COMMUNITY,165372,2104 12TH STREET,HARLAN,Shelby,42,27,24,0,48,40,44,0
FRIENDSHIP HOME ASSOCIATION,165232,714 DIVISION,AUDUBON,Audubon,0,2,9,0,31,15,3,0
NORTHCREST SPECIALTY CARE,165165,2001 HEATH STREET,WATERLOO,Black Hawk,50,29,17,14,83,43,35,0
HILLCREST HEALTH CARE CENTER,165245,2121 AVENUE L,HAWARDEN,Sioux,9,0,8,0,48,11,9,0
FONDA SPECIALTY CARE,165312,607 QUEEN STREET,FONDA,Pocahontas,0,0,2,0,39,5,0,0
REHABILITATION CENTER OF DES MOINES,165268,701 RIVERVIEW,DES MOINES,Polk,27,4,12,4,68,13,4,0
"LONGVIEW HOME, INC",165373,1010 LONGVIEW ROAD,MISSOURI VALLEY,Harrison,82,0,31,18,69,62,4,0
SOUTHERN HILLS SPECIALTY CARE,165293,444 NORTH WEST VIEW DRIVE,OSCEOLA,Clarke,0,0,10,0,88,4,3,0
ROLLING GREEN VILLAGE CARE CEN,165361,100 SIXTH STREET,NEVADA,Story,4,5,4,1,49,8,5,0
ON WITH LIFE AT GLENWOOD,165281,714 SOUTH LACEY SUITE 100,GLENWOOD,Mills,0,0,1,0,30,3,1,0
ACCURA HEALTHCARE OF LE MARS,165311,954 7TH AVENUE SE,LE MARS,Plymouth,0,58,5,0,33,2,14,0
GRISWOLD REHABILITATION & HEALTH CARE CENTER,165351,106 HARRISON ST,GRISWOLD,Cass,32,8,22,8,27,20,9,0
ALTOONA NURSING AND REHABILITATION CENTER,165162,200 SEVENTH AVENUE SW,ALTOONA,Polk,19,2,11,2,99,9,12,0
SHELL ROCK SENIOR LIVING,165309,920 NORTH CHERRY STREET,SHELL ROCK,Butler,2,0,1,0,36,5,0,0
