Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
LINCOLN COMMUNITY CARE CENTER,265761,205 TIMBERLINE DRIVE,LINCOLN,Benton,0,0,6,0,57,0,0,0
PHELPS HEALTH,265327,1000 W TENTH ST,ROLLA,Phelps,0,0,3,0,4,0,0,0
PIN OAKS LIVING CENTER,265481,1525 WEST MONROE,MEXICO,Audrain,0,0,11,0,59,0,6,0
FESTUS MANOR,265401,627 WESTWOOD DRIVE SOUTH,FESTUS,Jefferson,1,0,9,1,108,2,0,0
LAKE REGIONAL HEALTH SYSTEMS,265429,54 HOSPITAL DRIVE,OSAGE BEACH,Camden,0,4,1,0,6,3,1,0
TRUMAN GARDENS,265456,17451 MEDICAL CENTER PARKWAY,INDEPENDENCE,Jackson,0,0,0,0,35,2,0,0
COUNTRY AIRE RETIREMENT CENTER,265474,18540 STATE HIGHWAY 16,LEWISTOWN,Lewis,19,0,7,3,33,14,3,0
PARKLANE CARE AND REHABILITATION CENTER,265319,401 MAR-LE DRIVE,WENTZVILLE,St. Charles,2,14,23,0,91,6,9,0
GRAND PAVILION AT THE PLAZA,265199,4330 WASHINGTON,KANSAS CITY,Jackson,2,1,3,0,87,8,13,0
MCLARNEY MANOR,265644,"PO BOX 129, 215 EAST PRATT",BROOKFIELD,Linn,0,0,2,0,38,0,2,0
GLENWOOD HEALTHCARE,265608,851 THOROUGHFARE,SEYMOUR,Webster,0,0,9,0,34,0,0,0
JEFFERSON HEALTH CARE,265377,615 SW OLDHAM PARKWAY,LEES SUMMIT,Jackson,32,0,5,1,37,15,0,0
GLASGOW GARDENS,265535,100 AUDSLEY DRIVE,GLASGOW,Howard,0,1,3,0,34,1,4,0
RIVERVIEW AT THE PARK CARE AND REHABILITATION CTR,265743,1100 PROGRESS PARKWAY,SAINTE GENEVIEVE,Ste. Genevieve,0,0,7,0,87,4,5,0
ROLLA PRESBYTERIAN MANOR,265580,1200 HOMELIFE PLAZA,ROLLA,Phelps,0,0,4,0,23,1,3,0
SWOPE RIDGE GERIATRIC CENTER,265145,5900 SWOPE PARKWAY,KANSAS CITY,Jackson,3,0,2,1,78,10,1,0
TRUMAN HEALTHCARE & REHABILITATION CENTER,265253,206 WEST FIRST STREET,LAMAR,Barton,4,0,14,0,96,5,0,0
FULTON MANOR CARE CENTER,265760,520 MANOR DRIVE,FULTON,Callaway,0,1,6,0,32,0,0,0
MEYER CARE CENTER,265667,1201 WEST 19TH STREET,HIGGINSVILLE,Lafayette,0,1,7,0,44,2,2,0
LIFE CARE CENTER OF BRIDGETON,265345,12145 BRIDGETON SQUARE DR,BRIDGETON,St. Louis,26,57,11,8,62,15,33,0
"NHC HEALTHCARE, JOPLIN",265175,"2700 EAST 34TH STREET,  PO BOX 2877",JOPLIN,Newton,9,0,1,0,78,3,15,0
BAISCH NURSING CENTER,265714,3260 BAISCH DRIVE,DE SOTO,Jefferson,0,0,10,0,41,1,0,0
JEFFERSON CITY MANOR CARE CENTER,265285,1720 VIETH DR,JEFFERSON CITY,Cole,55,6,15,11,53,44,15,0
RANCHO MANOR HEALTHCARE AND REHABILITATION CENTER,265402,615 RANCHO LANE,FLORISSANT,St. Louis,34,70,12,7,62,14,18,0
"NICK'S HEALTH CARE CENTER, LLC",265698,253 EAST HIGHWAY 116,PLATTSBURG,Clinton,2,3,0,0,67,1,2,0
EASTVIEW MANOR CARE CENTER,265730,1622 EAST 28TH STREET,TRENTON,Grundy,0,0,0,0,84,0,0,0
BEAUVAIS MANOR HEALTHCARE & REHAB CENTER,265699,3625 MAGNOLIA AVENUE,SAINT LOUIS,St. Louis City,45,9,10,0,112,20,2,0
MCDONALD COUNTY LIVING CENTER,265447,1000 PATTERSON STREET,ANDERSON,McDonald,2,0,7,0,62,3,10,0
"SCENIC NURSING AND REHABILITATION CENTER, LLC",265216,1333 SCENIC DRIVE,HERCULANEUM,Jefferson,4,0,2,0,166,2,0,0
ALEXIAN BROTHERS SHERBROOKE VILLAGE,265417,4005 RIPA AVENUE,SAINT LOUIS,St. Louis,0,1,20,2,105,10,0,0
HOLDEN MANOR CARE CENTER,265739,2005 SOUTH LEXINGTON,HOLDEN,Johnson,0,0,2,0,35,1,0,0
GOOD SHEPHERD COMMUNITY CARE AND REHABILITATION,265705,200 WEST 12TH STREET,LOCKWOOD,Dade,0,2,7,0,59,0,7,0
ABBEY WOODS CENTER FOR REHABILITATION AND HEALING,265657,5026 FARAON ST,SAINT JOSEPH,Buchanan,0,1,0,0,77,0,0,0
BENTLEYS EXTENDED CARE,265732,3060 ASHBY ROAD,OVERLAND,St. Louis,0,0,2,0,55,2,0,0
ASH GROVE HEALTHCARE FACILITY,265571,"401 NORTH MEDICAL DRIVE, PO BOX 247",ASH GROVE,Greene,0,0,15,0,70,1,2,0
DELMAR GARDENS OF CHESTERFIELD,265170,14855 NORTH OUTER 40 ROAD,CHESTERFIELD,St. Louis,55,79,30,4,150,21,35,0
MARK TWAIN MANOR,265236,11988 MARK TWAIN LANE,BRIDGETON,St. Louis,50,40,15,12,49,23,5,0
LEWIS & CLARK GARDENS,265160,1221 BOONES LICK ROAD,SAINT CHARLES,St. Charles,13,3,8,0,91,6,9,0
GRANDVIEW HEALTHCARE CENTER,265374,201 GRAND AVE,WASHINGTON,Franklin,4,3,3,0,42,1,1,0
WARRENSBURG MANOR CARE CENTER,265669,400 CARE CENTER DRIVE,WARRENSBURG,Johnson,2,3,0,0,52,9,0,0
OAKRIDGE OF PLATTSBURG,265742,"205 E CLAY AVE, PO BOX 247",PLATTSBURG,Clinton,0,0,0,0,48,0,0,0
HIDDEN LAKE CARE CENTER,265510,11400 HIDDEN LAKE DRIVE,RAYTOWN,Jackson,56,16,26,23,85,36,6,0
LIFE CARE CENTER OF CARROLLTON,265294,300 LIFE CARE LANE,CARROLLTON,Carroll,0,0,0,0,61,2,0,0
CLARK COUNTY NURSING HOME,265485,1260 NORTH JOHNSON STREET,KAHOKA,Clark,0,10,5,0,68,1,0,0
CITIZENS MEMORIAL HEALTHCARE FACILITY,265545,"1218 WEST LOCUST, PO BOX 590",BOLIVAR,Polk,0,0,30,0,101,6,0,0
HICKORY MANOR,265632,209 HICKORY STREET,LICKING,Texas,0,0,2,0,32,3,0,0
WINDSOR HEALTHCARE & REHAB CENTER,265683,"809 WEST BENTON, PO BOX 5",WINDSOR,Henry,0,0,0,0,45,0,5,0
CASSVILLE HEALTH CENTER FOR REHAB AND HEALTHCARE,265460,1300 COUNTY FARM ROAD,CASSVILLE,Barry,0,1,3,0,50,0,8,0
BERTRAND NURSING AND REHAB CENTER,265678,603 HIGHWAY 62 WEST,BERTRAND,Mississippi,28,0,7,2,40,2,3,0
GRAND MANOR NURSING & REHABILITATION CENTER,265717,3645 COOK AVE,SAINT LOUIS,St. Louis City,9,3,0,0,75,5,0,0
DIVERSICARE OF ST JOSEPH,265754,3002 NORTH 18TH ST,SAINT JOSEPH,Buchanan,14,7,9,0,98,3,2,0
MACON HEALTH CARE CENTER,265163,"29612 KELLOGG AVENUE, PO BOX 465",MACON,Macon,1,0,9,0,44,2,0,0
STONEBRIDGE HERMANN,265651,"1800 WEIN STREET, PO BOX 468",HERMANN,Gasconade,46,16,22,13,46,29,1,0
BETH HAVEN NURSING HOME,265108,2500 PLEASANT STREET,HANNIBAL,Marion,5,6,1,1,92,5,1,0
OAK KNOLL SKILLED NURSING & REHABILITATION CENTER,265680,37 NORTH CLARK AVENUE,FERGUSON,St. Louis,0,0,0,0,59,1,4,0
MALDEN NURSING & REHAB,265609,1209 STOKELAN,MALDEN,Dunklin,2,1,0,0,29,3,5,0
RIVERBEND HEIGHTS HEALTH & REHABILITATION,265358,1221 HIGHWAY 13 SOUTH,LEXINGTON,Lafayette,2,0,3,0,113,2,4,0
HARTVILLE CARE CENTER,265593,649 WEST ROLLA STREET,HARTVILLE,Wright,1,4,5,0,25,3,1,0
LOCH HAVEN,265200,"701 SUNSET HILLS DR, PO BOX 187",MACON,Macon,0,0,0,0,84,4,2,0
CRYSTAL CREEK HEALTH AND REHABILITATION CENTER,265607,250 NEW FLORISSANT ROAD SOUTH,FLORISSANT,St. Louis,76,48,12,13,113,25,2,0
WEST VUE NURSING AND REHABILITATION CENTER,265164,210 DAVIS DRIVE,WEST PLAINS,Howell,0,0,5,0,105,8,1,0
OZARK NURSING AND CARE CENTER,265753,1486 NORTH RIVERSIDE RD,OZARK,Christian,0,2,8,0,63,0,9,0
"ESTATES OF HIDDEN LAKE, THE",265735,11728 HIDDEN LAKE DRIVE,SAINT LOUIS,St. Louis,1,0,0,0,,0,0,0
ABC HEALTH CARE,265513,307 EAST SOUTH STREET,HARRISONVILLE,Cass,0,0,3,0,,0,2,0
DELMAR GARDENS WEST,265105,13550 SOUTH OUTER 40 ROAD,TOWN AND COUNTRY,St. Louis,29,77,37,4,220,22,15,0
TRI-COUNTY CARE CENTER,265638,601 NORTH GALLOWAY ROAD,VANDALIA,Audrain,54,11,6,4,70,34,15,0
GOLDEN AGE NURSING HOME,265718,12498 SE HIGHWAY 116,BRAYMER,Caldwell,0,0,3,0,38,0,4,0
LAWSON MANOR & REHAB,265666,210 WEST 8TH TERRACE,LAWSON,Ray,0,0,5,0,42,0,0,0
GOLDEN YEARS CENTER FOR REHAB AND HEALTHCARE,265349,2001 JEFFERSON PARKWAY,HARRISONVILLE,Cass,0,2,10,0,68,3,4,0
BETHESDA SOUTHGATE,265756,5943 TELEGRAPH ROAD,SAINT LOUIS,St. Louis,12,34,57,1,133,3,72,0
TARKIO REHABILITATION & HEALTH CARE,265537,300 CEDAR STREET,TARKIO,Atchison,0,1,12,0,30,0,8,0
BERNARD CARE CENTER,265500,4335 WEST PINE BLVD,SAINT LOUIS,St. Louis City,4,2,13,4,117,2,1,0
OAK GROVE NURSING & REHAB,265710,2108 SOUTH MITCHELL,OAK GROVE,Jackson,19,0,11,5,61,7,0,0
JONESBURG NURSING & REHAB,265333,"308 CEDAR AVENUE, PO BOX 218",JONESBURG,Montgomery,0,0,1,0,64,4,5,0
ASHLAND HEALTHCARE,265707,300 SOUTH HENRY CLAY BLVD,ASHLAND,Boone,0,0,13,0,28,1,0,0
MONTEREY PARK REHABILITATION & HEALTH CARE CENTER,265579,4600 LITTLE BLUE PARKWAY,INDEPENDENCE,Jackson,58,8,11,4,45,26,13,0
MAPLE GROVE LODGE,265740,2407 KENTUCKY STREET,LOUISIANA,Pike,24,12,5,0,46,20,9,0
NORTHVIEW VILLAGE,265524,2415 NORTH KINGSHIGHWAY,SAINT LOUIS,St. Louis City,5,0,2,1,203,20,2,0
OAK PARK CARE CENTER,265427,6637 BERTHOLD AVENUE,SAINT LOUIS,St. Louis City,37,8,10,5,75,9,2,0
LENOIR HEALTH CARE CENTER,265639,3850 CARTWRIGHT LANE,COLUMBIA,Boone,6,0,10,0,60,3,9,0
HILLVIEW NURSING & REHAB,265696,"220 O'ROURKE DRIVE, PO BOX 1310",PLATTE CITY,Platte,9,2,0,0,58,2,3,0
BENTONVIEW PARK HEALTH & REHABILITATION,265410,410 WEST BENTON STREET,MONETT,Barry,19,7,9,8,57,76,51,0
MOBERLY NURSING & REHAB,265407,700 EAST URBANDALE DRIVE,MOBERLY,Randolph,0,0,3,0,49,1,0,0
"NHC HEALTHCARE, MARYLAND HEIGHTS",265318,2920 FEE FEE ROAD,MARYLAND HEIGHTS,St. Louis,80,50,58,33,153,31,20,0
MOORE-FEW CARE CENTER,265110,901 SOUTH  ADAMS,NEVADA,Vernon,0,0,11,0,67,0,2,0
EAST PRAIRIE NURSING CENTER,265551,"186 MILLAR ROAD, PO BOX 299",EAST PRAIRIE,Mississippi,0,1,4,0,22,0,5,0
MEDICALODGES NEOSHO,265266,400 LYON DRIVE,NEOSHO,Newton,0,1,18,0,72,0,2,0
FLORISSANT VALLEY HEALTH & REHABILITATION CENTER,265112,1200 GRAHAM ROAD,FLORISSANT,St. Louis,9,10,4,2,59,1,10,0
MEDICALODGES BUTLER,265564,103 EAST NURSERY,BUTLER,Bates,0,0,1,0,58,2,11,0
U-CITY FOREST MANOR,265736,1301 PARTRIDGE AVENUE,SAINT LOUIS,St. Louis,39,0,17,6,80,26,0,0
ST ANDREW'S AT FRANCIS PLACE,265195,300 FORBY ROAD,EUREKA,St. Louis,0,0,0,0,91,1,0,0
NEW HAVEN LIVING CENTER,265501,609 GOLF STREET,ODESSA,Lafayette,0,0,0,0,26,0,0,0
SUNNYVIEW NURSING HOME & APARTMENTS,265715,1311 E 28TH STREET,TRENTON,Grundy,3,0,11,0,65,3,0,0
DEXTER LIVING CENTER,265382,415 S CATALPA STREET,DEXTER,Stoddard,0,0,3,0,26,0,4,0
TRUMAN LAKE MANOR INC,265431,"600 EAST 7TH ST, PO BOX 415",LOWRY CITY,St. Clair,0,0,3,0,47,0,0,0
WOODLAND MANOR NURSING CENTER,265324,100 WOODLAND COURT,ARNOLD,Jefferson,141,0,10,10,101,48,9,0
CROWLEY RIDGE CARE CENTER,265552,"1204 NORTH OUTER ROAD, PO BOX 668",DEXTER,Stoddard,30,0,11,7,47,10,4,0
PLEASANT VIEW,265744,"470 RAINBOW DRIVE, PO BOX 273",ROCK PORT,Atchison,0,1,3,0,37,0,0,0
VILLA MARIE-A STONEBRIDGE COMMUNITY,265208,1030 EDMONDS STREET,JEFFERSON CITY,Cole,0,0,10,0,69,1,1,0
