Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
MISSION AT COMMUNITY LIVING REHABILITATION CENTER,465175,10 WEST 400 SOUTH,CENTERFIELD,Sanpete,0,0,3,0,39,0,0,0
CANYONLANDS CARE CENTER,46A070,390 WEST WILLIAMS WAY,MOAB,Grand,0,0,7,0,31,0,0,0
"MILLCREEK REHABILITATION AND NURSING, LLC",465185,3520 SOUTH HIGHLAND DRIVE,SALT LAKE CITY,Salt Lake,0,0,0,0,54,0,0,0
NORTH CANYON CARE CENTER,465163,350 SOUTH 400 EAST,BOUNTIFUL,Davis,0,0,4,0,54,1,1,0
MIDTOWN MANOR,465124,125 SOUTH 900 WEST,SALT LAKE CITY,Salt Lake,3,0,0,0,76,6,1,0
ALPINE MEADOW REHABILITATION AND NURSING,46A069,2520 SOUTH REDWOOD ROAD,WEST VALLEY CITY,Salt Lake,0,0,1,1,26,2,0,0
MISSION AT MAPLE SPRINGS,465165,1010 SOUTH MEDICAL DRIVE,BRIGHAM,Box Elder,0,0,5,0,28,0,1,0
WILLIAM E CHRISTOFFERSEN SALT LAKE VETERANS HOME,465150,700 SOUTH FOOTHILL DRIVE,SALT LAKE CITY,Salt Lake,51,8,16,12,53,59,1,1
"LOMOND PEAK NURSING AND REHABILITATION, LLC",46A071,524 EAST 800 NORTH,OGDEN,Weber,0,0,5,0,56,0,0,0
ROCKY MOUNTAIN CARE - COTTAGE ON VINE,465125,835 EAST VINE STREET,MURRAY,Salt Lake,0,4,3,0,52,0,7,0
FAIRFIELD VILLAGE REHABILITATION,465174,1203 NORTH FAIRFIELD ROAD,LAYTON,Davis,0,5,0,0,30,0,12,0
EMERY COUNTY CARE AND REHABILITATION CENTER,465085,455 WEST MILL ROAD,FERRON,Emery,0,0,5,0,28,9,38,0
MOUNTAIN VIEW HEALTH SERVICES,465086,5865 SOUTH WASATCH DRIVE,OGDEN,Weber,0,0,0,0,47,1,0,0
"STONEHENGE OF SOUTH JORDAN, LLC",465176,1371 WEST SOUTH JORDAN PARKWAY,SOUTH JORDAN,Salt Lake,0,4,0,0,19,0,2,0
POINTE MEADOWS HEALTH AND REHABILITATION,465188,2750 NORTH DIGITAL DRIVE,LEHI,Utah,0,0,1,0,70,0,0,0
ROCKY MOUNTAIN CARE - RIVERTON,465168,3419 WEST 12600 SOUTH,RIVERTON,Salt Lake,0,1,0,0,33,1,0,0
STONEHENGE OF CEDAR CITY,465153,333 WEST 1425 NORTH,CEDAR CITY,Iron,0,2,2,0,35,5,5,0
RED CLIFFS HEALTH AND REHAB,465137,1745 EAST 280 NORTH,ST GEORGE,Washington,0,0,0,0,63,0,0,0
COPPER RIDGE HEALTH CARE,465108,3706 WEST 9000 SOUTH,WEST JORDAN,Salt Lake,0,3,2,0,92,0,4,0
AVALON WEST HEALTH & REHABILITATION,465066,6246 SOUTH REDWOOD ROAD,SALT LAKE CITY,Salt Lake,0,2,0,0,106,1,4,0
UINTAH BASIN REHABILITATION AND SENIOR VILLA,465084,265 NORTH 300 WEST,ROOSEVELT,Duchesne,0,0,0,0,41,0,0,0
SANDY HEALTH AND REHAB,465111,50 EAST 9000 SOUTH,SANDY,Salt Lake,43,58,4,2,81,21,35,0
SOUTH OGDEN POST ACUTE,465117,5540 SOUTH 1050 EAST,OGDEN,Weber,0,2,0,0,61,0,1,0
MT OGDEN HEALTH AND REHABILITATION CENTER,465069,375 EAST 5350 SOUTH,WASHINGTON TERRACE,Weber,1,0,4,0,54,0,1,0
RICHFIELD REHABILITATION AND CARE CENTER,465059,163 EAST 1000 NORTH,RICHFIELD,Sevier,0,2,1,0,46,0,0,0
PINE CREEK REHABILITATION AND NURSING,46A064,876 WEST 700 SOUTH,SALT LAKE CITY,Salt Lake,0,0,0,0,27,0,0,0
ST JOSEPH VILLA,465095,451 EAST BISHOP FEDERAL LANE,SALT LAKE CITY,Salt Lake,3,0,9,0,170,4,2,0
PINNACLE NURSING AND REHABILITATION CENTER,465098,1340 EAST 300 NORTH,PRICE,Carbon,0,0,4,0,47,0,2,0
CASCADES AT ORCHARD PARK,465090,740 NORTH 300 EAST,OREM,Utah,0,1,2,0,47,0,1,0
PARAMOUNT HEALTH AND REHABILITATION,465100,4035 SOUTH 500 EAST,SALT LAKE CITY,Salt Lake,0,1,0,0,55,0,0,0
CITY CREEK POST-ACUTE,465072,165 SOUTH 1000 EAST,SALT LAKE CITY,Salt Lake,4,0,9,9,52,5,5,0
MEADOW BROOK REHABILITATION AND NURSING,465158,433 EAST 2700 SOUTH,SALT LAKE CITY,Salt Lake,0,1,0,0,38,0,2,0
PIONEER CARE CENTER,465020,815 SOUTH 200 WEST,BRIGHAM CITY,Box Elder,0,0,1,0,35,0,23,0
HERITAGE CARE CENTER,465097,350 EAST 300 NORTH,AMERICAN FORK,Utah,0,0,1,0,54,1,2,0
WILLOW GLEN HEALTH AND REHAB,465093,775 NORTH 200 EAST,BRIGHAM CITY,Box Elder,0,0,4,0,30,0,0,0
ADVANCED HEALTH CARE OF SALEM,465189,555 WEST SR 164,SALEM,Utah,0,25,0,0,10,1,17,0
STONEHENGE OF SPRINGVILLE,465130,909 WEST 450 SOUTH,SPRINGVILLE,Utah,0,0,1,0,34,1,7,0
WILLOW WOOD CARE CENTER,465074,1205 EAST 4725 SOUTH,SALT LAKE CITY,Salt Lake,0,1,3,0,62,3,2,0
