Provider Name,Federal Provider Number,Provider Address,Provider City,County,Residents Total Confirmed COVID-19,Residents Total Suspected COVID-19,Residents Total All Deaths,Residents Total COVID-19 Deaths,Total Number of Occupied Beds,Staff Total Confirmed COVID-19,Staff Total Suspected COVID-19,Staff Total COVID-19 Deaths
PERSHING GENERAL HOSPITAL SNF,295000,855 6TH STREET,LOVELOCK,Pershing,0,1,0,0,23,1,12,0
SOUTH LYON MEDICAL CENTER,295011,P.O. BOX 940,YERINGTON,Lyon,0,0,0,0,35,0,2,0
BOULDER CITY HOSPITAL SNF,295046,901 ADAMS BLVD.,BOULDER CITY,Clark,0,0,0,0,40,0,0,0
COLLEGE PARK REHABILITATION CENTER,295055,2856 E. CHEYENNE AVE.,COLLEGE PARK,Clark,35,43,7,7,65,26,41,0
HORIZON HEALTH AND REHABILITATION CENTER,295017,660 DESERT LN,LAS VEGAS,Clark,40,10,7,7,83,39,1,0
ROSEWOOD REHABILITATION CENTER,295020,2045 SILVERADA BLVD,RENO,Washoe,0,0,0,0,70,1,0,0
LAKESIDE HEALTH & WELLNESS SUITES,295043,3101 PLUMAS,RENO,Washoe,46,62,37,25,66,20,38,1
HEARTHSTONE OF NORTHERN NEVADA,295044,1950 BARING BLVD,SPARKS,Washoe,1,6,3,1,120,2,16,0
LEFA SERAN SNF,295001,1ST AND A ST/ PO BOX 1510,HAWTHORNE,Mineral,0,4,1,0,23,0,1,0
HARMON HOSPITAL - SNF,295048,2170 EAST HARMON AVE,LAS VEGAS,Clark,0,0,0,0,2,4,0,0
CARSON NURSING AND REHABILITATION CENTER,295023,2898 HIGHWAY 50 EAST,CARSON CITY,Carson City,0,0,4,0,43,0,0,0
"PREMIER HEALTH & REHABILITATION CENTER OF LV, LP",295021,2945 CASA VEGAS STREET,LAS VEGAS,Clark,48,35,0,3,55,29,0,0
LIFE CARE CENTER OF LAS VEGAS,295052,6151 VEGAS DRIVE,LAS VEGAS,Clark,37,36,11,4,120,11,14,0
EL JEN CONVALESCENT HOSPITAL AND RETIREMENT CENTER,295008,5538 W DUNCAN DR,LAS VEGAS,Clark,42,13,17,7,111,24,8,0
WHITE PINE CARE CENTER,295029,1500 AVENUE G,ELY,White Pine,0,0,0,0,30,0,0,0
TORREY PINES POST ACUTE AND REHABILITATION,295045,1701 S. TORREY PINES DRIVE,LAS VEGAS,Clark,,,,,,,,
SAINT JOSEPH TRANSITIONAL REHABILITATION CENTER,295040,2035 W. CHARLESTON BLVD.,LAS VEGAS,Clark,0,0,9,0,95,0,0,0
LAS VEGAS POST ACUTE & REHABILITATION,295006,2832 S. MARYLAND PARKWAY,LAS VEGAS,Clark,25,26,0,6,77,25,27,0
DELMAR GARDENS OF GREEN VALLEY,295041,100 DELMAR GARDENS DRIVE,HENDERSON,Clark,1,0,7,1,168,0,0,0
LIFE CARE CENTER OF RENO,295050,445 W. HOLCOMB LANE,RENO,Washoe,4,0,0,0,82,2,1,0
HARMONY MANOR SKILLED NURSING FACILITY,295024,118 EAST HASKELL ST,WINNEMUCCA,Humboldt,0,1,0,0,39,4,0,0
NORTH LAS VEGAS CARE CENTER,295036,3215 E. CHEYENNE AVE.,NORTH LAS VEGAS,Clark,4,0,0,0,151,2,4,0
LAKE MEAD HEALTH AND REHABILITATION CENTER,295037,1180 E. LAKE MEAD DRIVE,HENDERSON,Clark,18,0,21,0,236,7,0,0
GROVER C DILS MEDICAL CENTER SNF,295026,"700 N SPRING ST, BOX 1010-C-ADM BLDG",CALIENTE,Lincoln,,,,,,,,
SAGE CREEK POST-ACUTE,295098,2350 IONE ROAD,LAS VEGAS,Clark,1,0,0,0,33,1,0,0
